job,date,maxsal,minsal
Engineer,2000-5-5,860,479
Engineer,2000-5-6,810,538
Engineer,2000-5-7,783,406
Engineer,2000-5-8,948,405
Engineer,2000-5-9,726,400
Engineer,2000-5-10,937,469
Engineer,2000-5-11,856,428
Engineer,2000-5-12,817,434
Engineer,2000-5-13,926,408
Engineer,2000-5-14,826,408
Engineer,2000-5-15,899,412
Engineer,2000-5-16,843,576
Engineer,2000-5-17,839,546
Engineer,2000-5-18,745,425
Engineer,2000-5-19,848,410
Engineer,2000-5-20,852,421
Engineer,2000-5-21,848,495
Engineer,2000-5-22,898,665
Engineer,2000-5-23,808,474
Engineer,2000-5-24,822,436
Engineer,2000-5-25,946,584
Engineer,2000-5-26,920,456
Engineer,2000-5-27,840,427
Engineer,2000-5-28,792,440
Engineer,2000-5-29,871,405
Engineer,2000-5-30,937,461
Engineer,2000-5-31,850,431
Engineer,2000-6-1,592,380
Engineer,2000-6-2,596,292
Engineer,2000-6-3,624,283
Engineer,2000-6-4,555,276
Engineer,2000-6-5,604,300
Engineer,2000-6-6,538,289
Engineer,2000-6-7,545,333
Engineer,2000-6-8,530,290
Engineer,2000-6-9,553,300
Engineer,2000-6-10,656,288
Engineer,2000-6-11,618,287
Engineer,2000-6-12,650,285
Engineer,2000-6-13,523,293
Engineer,2000-6-14,624,299
Engineer,2000-6-15,576,277
Engineer,2000-6-16,640,305
Engineer,2000-6-17,618,354
Engineer,2000-6-18,598,339
Engineer,2000-6-19,644,350
Engineer,2000-6-20,639,302
Engineer,2000-6-21,561,322
Engineer,2000-6-22,609,289
Engineer,2000-6-23,648,347
Engineer,2000-6-24,612,309
Engineer,2000-6-25,557,367
Engineer,2000-6-26,634,279
Engineer,2000-6-27,448,299
Engineer,2000-6-28,614,305
Engineer,2000-6-29,618,379
Engineer,2000-6-30,603,286
Engineer,2000-7-1,693,372
Engineer,2000-7-2,709,396
Engineer,2000-7-3,686,373
Engineer,2000-7-4,609,395
Engineer,2000-7-5,739,387
Engineer,2000-7-6,819,350
Engineer,2000-7-7,769,396
Engineer,2000-7-8,758,437
Engineer,2000-7-9,637,389
Engineer,2000-7-10,773,389
Engineer,2000-7-11,767,494
Engineer,2000-7-12,744,350
Engineer,2000-7-13,688,378
Engineer,2000-7-14,547,360
Engineer,2000-7-15,764,462
Engineer,2000-7-16,807,427
Engineer,2000-7-17,759,372
Engineer,2000-7-18,777,402
Engineer,2000-7-19,784,357
Engineer,2000-7-20,801,490
Engineer,2000-7-21,746,436
Engineer,2000-7-22,732,478
Engineer,2000-7-23,818,351
Engineer,2000-7-24,629,369
Engineer,2000-7-25,710,382
Engineer,2000-7-26,733,396
Engineer,2000-7-27,711,352
Engineer,2000-7-28,829,362
Engineer,2000-7-29,751,378
Engineer,2000-7-30,805,386
Engineer,2000-7-31,690,371
Engineer,2000-8-1,704,365
Engineer,2000-8-2,667,405
Engineer,2000-8-3,729,382
Engineer,2000-8-4,750,360
Engineer,2000-8-5,708,367
Engineer,2000-8-6,739,532
Engineer,2000-8-7,758,361
Engineer,2000-8-8,784,407
Engineer,2000-8-9,709,352
Engineer,2000-8-10,828,440
Engineer,2000-8-11,652,388
Engineer,2000-8-12,821,374
Engineer,2000-8-13,804,438
Engineer,2000-8-14,655,354
Engineer,2000-8-15,657,464
Engineer,2000-8-16,717,407
Engineer,2000-8-17,557,375
Engineer,2000-8-18,696,361
Engineer,2000-8-19,774,416
Engineer,2000-8-20,793,350
Engineer,2000-8-21,725,361
Engineer,2000-8-22,795,392
Engineer,2000-8-23,718,430
Engineer,2000-8-24,760,397
Engineer,2000-8-25,677,388
Engineer,2000-8-26,752,354
Engineer,2000-8-27,819,351
Engineer,2000-8-28,777,419
Engineer,2000-8-29,784,391
Engineer,2000-8-30,768,352
Engineer,2000-8-31,771,465
Engineer,2000-9-1,598,302
Engineer,2000-9-2,635,425
Engineer,2000-9-3,626,279
Engineer,2000-9-4,590,429
Engineer,2000-9-5,532,275
Engineer,2000-9-6,638,287
Engineer,2000-9-7,591,294
Engineer,2000-9-8,612,339
Engineer,2000-9-9,638,433
Engineer,2000-9-10,608,307
Engineer,2000-9-11,626,291
Engineer,2000-9-12,601,286
Engineer,2000-9-13,589,356
Engineer,2000-9-14,617,339
Engineer,2000-9-15,546,341
Engineer,2000-9-16,600,304
Engineer,2000-9-17,574,278
Engineer,2000-9-18,619,310
Engineer,2000-9-19,605,300
Engineer,2000-9-20,609,275
Engineer,2000-9-21,593,328
Engineer,2000-9-22,616,277
Engineer,2000-9-23,548,284
Engineer,2000-9-24,618,282
Engineer,2000-9-25,619,349
Engineer,2000-9-26,618,320
Engineer,2000-9-27,583,331
Engineer,2000-9-28,574,299
Engineer,2000-9-29,644,286
Engineer,2000-9-30,585,288
Engineer,2000-10-1,636,342
Engineer,2000-10-2,596,310
Engineer,2000-10-3,469,275
Engineer,2000-10-4,544,277
Engineer,2000-10-5,558,352
Engineer,2000-10-6,614,279
Engineer,2000-10-7,584,326
Engineer,2000-10-8,604,283
Engineer,2000-10-9,573,282
Engineer,2000-10-10,623,407
Engineer,2000-10-11,464,308
Engineer,2000-10-12,612,389
Engineer,2000-10-13,607,299
Engineer,2000-10-14,655,283
Engineer,2000-10-15,584,297
Engineer,2000-10-16,563,301
Engineer,2000-10-17,584,375
Engineer,2000-10-18,540,292
Engineer,2000-10-19,534,314
Engineer,2000-10-20,541,276
Engineer,2000-10-21,589,301
Engineer,2000-10-22,565,316
Engineer,2000-10-23,533,325
Engineer,2000-10-24,613,283
Engineer,2000-10-25,642,351
Engineer,2000-10-26,569,361
Engineer,2000-10-27,559,289
Engineer,2000-10-28,645,276
Engineer,2000-10-29,606,276
Engineer,2000-10-30,575,287
Engineer,2000-10-31,645,374
Engineer,2000-11-1,572,303
Engineer,2000-11-2,647,358
Engineer,2000-11-3,639,278
Engineer,2000-11-4,598,303
Engineer,2000-11-5,598,313
Engineer,2000-11-6,533,298
Engineer,2000-11-7,574,281
Engineer,2000-11-8,642,374
Engineer,2000-11-9,591,380
Engineer,2000-11-10,617,312
Engineer,2000-11-11,614,377
Engineer,2000-11-12,565,316
Engineer,2000-11-13,553,279
Engineer,2000-11-14,526,355
Engineer,2000-11-15,573,312
Engineer,2000-11-16,564,366
Engineer,2000-11-17,560,288
Engineer,2000-11-18,505,291
Engineer,2000-11-19,536,321
Engineer,2000-11-20,558,291
Engineer,2000-11-21,586,280
Engineer,2000-11-22,584,347
Engineer,2000-11-23,601,329
Engineer,2000-11-24,530,312
Engineer,2000-11-25,540,400
Engineer,2000-11-26,616,317
Engineer,2000-11-27,582,380
Engineer,2000-11-28,606,280
Engineer,2000-11-29,641,325
Engineer,2000-11-30,476,365
Engineer,2000-12-1,582,307
Engineer,2000-12-2,585,330
Engineer,2000-12-3,586,309
Engineer,2000-12-4,629,293
Engineer,2000-12-5,595,288
Engineer,2000-12-6,638,290
Engineer,2000-12-7,559,324
Engineer,2000-12-8,579,332
Engineer,2000-12-9,575,301
Engineer,2000-12-10,604,301
Engineer,2000-12-11,600,294
Engineer,2000-12-12,549,278
Engineer,2000-12-13,628,275
Engineer,2000-12-14,574,318
Engineer,2000-12-15,538,275
Engineer,2000-12-16,547,327
Engineer,2000-12-17,621,326
Engineer,2000-12-18,614,279
Engineer,2000-12-19,636,300
Engineer,2000-12-20,521,286
Engineer,2000-12-21,630,312
Engineer,2000-12-22,565,289
Engineer,2000-12-23,602,346
Engineer,2000-12-24,639,375
Engineer,2000-12-25,575,327
Engineer,2000-12-26,542,316
Engineer,2000-12-27,592,285
Engineer,2000-12-28,434,276
Engineer,2000-12-29,608,289
Engineer,2000-12-30,523,322
Engineer,2000-12-31,594,303
Engineer,2001-1-1,569,317
Engineer,2001-1-2,635,306
Engineer,2001-1-3,611,303
Engineer,2001-1-4,658,380
Engineer,2001-1-5,655,473
Engineer,2001-1-6,641,372
Engineer,2001-1-7,611,305
Engineer,2001-1-8,641,317
Engineer,2001-1-9,631,304
Engineer,2001-1-10,617,327
Engineer,2001-1-11,658,422
Engineer,2001-1-12,633,332
Engineer,2001-1-13,603,308
Engineer,2001-1-14,625,300
Engineer,2001-1-15,628,295
Engineer,2001-1-16,643,332
Engineer,2001-1-17,641,364
Engineer,2001-1-18,646,295
Engineer,2001-1-19,635,282
Engineer,2001-1-20,640,277
Engineer,2001-1-21,637,275
Engineer,2001-1-22,641,352
Engineer,2001-1-23,652,336
Engineer,2001-1-24,535,304
Engineer,2001-1-25,560,314
Engineer,2001-1-26,616,336
Engineer,2001-1-27,582,336
Engineer,2001-1-28,589,309
Engineer,2001-1-29,630,309
Engineer,2001-1-30,623,369
Engineer,2001-1-31,622,308
Engineer,2001-2-1,636,291
Engineer,2001-2-2,618,294
Engineer,2001-2-3,657,301
Engineer,2001-2-4,607,275
Engineer,2001-2-5,655,281
Engineer,2001-2-6,659,331
Engineer,2001-2-7,630,320
Engineer,2001-2-8,645,344
Engineer,2001-2-9,644,300
Engineer,2001-2-10,650,343
Engineer,2001-2-11,599,327
Engineer,2001-2-12,649,291
Engineer,2001-2-13,642,342
Engineer,2001-2-14,636,276
Engineer,2001-2-15,609,281
Engineer,2001-2-16,597,325
Engineer,2001-2-17,646,344
Engineer,2001-2-18,653,332
Engineer,2001-2-19,656,328
Engineer,2001-2-20,651,320
Engineer,2001-2-21,616,315
Engineer,2001-2-22,647,371
Engineer,2001-2-23,649,343
Engineer,2001-2-24,629,332
Engineer,2001-2-25,653,289
Engineer,2001-2-26,651,385
Engineer,2001-2-27,567,290
Engineer,2001-2-28,651,416
Engineer,2001-3-1,948,528
Engineer,2001-3-2,912,441
Engineer,2001-3-3,885,411
Engineer,2001-3-4,850,479
Engineer,2001-3-5,944,406
Engineer,2001-3-6,908,410
Engineer,2001-3-7,958,441
Engineer,2001-3-8,917,456
Engineer,2001-3-9,920,401
Engineer,2001-3-10,902,435
Engineer,2001-3-11,932,484
Engineer,2001-3-12,851,410
Engineer,2001-3-13,884,463
Engineer,2001-3-14,932,407
Engineer,2001-3-15,948,428
Engineer,2001-3-16,937,400
Engineer,2001-3-17,903,403
Engineer,2001-3-18,908,400
Engineer,2001-3-19,924,486
Engineer,2001-3-20,946,515
Engineer,2001-3-21,852,423
Engineer,2001-3-22,953,544
Engineer,2001-3-23,748,439
Engineer,2001-3-24,929,544
Engineer,2001-3-25,952,500
Engineer,2001-3-26,960,469
Engineer,2001-3-27,922,408
Engineer,2001-3-28,952,516
Engineer,2001-3-29,872,461
Engineer,2001-3-30,956,520
Engineer,2001-3-31,872,409
Engineer,2001-4-1,536,289
Engineer,2001-4-2,599,305
Engineer,2001-4-3,614,277
Engineer,2001-4-4,605,295
Engineer,2001-4-5,640,294
Engineer,2001-4-6,633,325
Engineer,2001-4-7,622,350
Engineer,2001-4-8,619,289
Engineer,2001-4-9,577,277
Engineer,2001-4-10,607,281
Engineer,2001-4-11,618,281
Engineer,2001-4-12,660,323
Engineer,2001-4-13,553,300
Engineer,2001-4-14,647,353
Engineer,2001-4-15,619,319
Engineer,2001-4-16,618,305
Engineer,2001-4-17,600,384
Engineer,2001-4-18,621,286
Engineer,2001-4-19,624,354
Engineer,2001-4-20,599,328
Engineer,2001-4-21,636,381
Engineer,2001-4-22,575,294
Engineer,2001-4-23,649,275
Engineer,2001-4-24,611,286
Engineer,2001-4-25,630,381
Engineer,2001-4-26,647,279
Engineer,2001-4-27,659,281
Engineer,2001-4-28,650,283
Engineer,2001-4-29,652,316
Engineer,2001-4-30,640,311
Engineer,2001-5-1,938,454
Engineer,2001-5-2,936,419
Engineer,2001-5-3,933,404
Engineer,2001-5-4,901,471
Engineer,2001-5-5,864,421
Engineer,2001-5-6,919,472
Engineer,2001-5-7,899,446
Engineer,2001-5-8,868,468
Engineer,2001-5-9,928,426
Engineer,2001-5-10,915,540
Engineer,2001-5-11,948,464
Engineer,2001-5-12,953,454
Engineer,2001-5-13,900,498
Engineer,2001-5-14,951,426
Engineer,2001-5-15,882,431
Engineer,2001-5-16,892,494
Engineer,2001-5-17,945,402
Engineer,2001-5-18,953,510
Engineer,2001-5-19,949,532
Engineer,2001-5-20,766,443
Engineer,2001-5-21,941,442
Engineer,2001-5-22,940,453
Engineer,2001-5-23,916,430
Engineer,2001-5-24,933,408
Engineer,2001-5-25,892,424
Engineer,2001-5-26,927,414
Engineer,2001-5-27,844,436
Engineer,2001-5-28,847,440
Engineer,2001-5-29,951,482
Engineer,2001-5-30,960,419
Engineer,2001-5-31,948,420
Engineer,2001-6-1,656,384
Engineer,2001-6-2,643,278
Engineer,2001-6-3,640,290
Engineer,2001-6-4,659,311
Engineer,2001-6-5,607,304
Engineer,2001-6-6,633,391
Engineer,2001-6-7,648,292
Engineer,2001-6-8,634,357
Engineer,2001-6-9,616,303
Engineer,2001-6-10,606,278
Engineer,2001-6-11,649,397
Engineer,2001-6-12,614,286
Engineer,2001-6-13,640,370
Engineer,2001-6-14,544,308
Engineer,2001-6-15,614,290
Engineer,2001-6-16,645,293
Engineer,2001-6-17,641,288
Engineer,2001-6-18,612,343
Engineer,2001-6-19,631,340
Engineer,2001-6-20,660,316
Engineer,2001-6-21,656,325
Engineer,2001-6-22,649,354
Engineer,2001-6-23,631,326
Engineer,2001-6-24,519,337
Engineer,2001-6-25,547,314
Engineer,2001-6-26,613,369
Engineer,2001-6-27,610,278
Engineer,2001-6-28,605,344
Engineer,2001-6-29,652,279
Engineer,2001-6-30,553,284
Engineer,2001-7-1,718,378
Engineer,2001-7-2,837,378
Engineer,2001-7-3,836,360
Engineer,2001-7-4,838,394
Engineer,2001-7-5,796,387
Engineer,2001-7-6,756,402
Engineer,2001-7-7,812,409
Engineer,2001-7-8,826,361
Engineer,2001-7-9,832,368
Engineer,2001-7-10,835,351
Engineer,2001-7-11,814,403
Engineer,2001-7-12,786,448
Engineer,2001-7-13,714,363
Engineer,2001-7-14,753,358
Engineer,2001-7-15,777,417
Engineer,2001-7-16,826,416
Engineer,2001-7-17,779,441
Engineer,2001-7-18,758,382
Engineer,2001-7-19,831,399
Engineer,2001-7-20,833,376
Engineer,2001-7-21,816,352
Engineer,2001-7-22,826,351
Engineer,2001-7-23,739,356
Engineer,2001-7-24,744,392
Engineer,2001-7-25,830,364
Engineer,2001-7-26,809,418
Engineer,2001-7-27,791,455
Engineer,2001-7-28,803,380
Engineer,2001-7-29,802,422
Engineer,2001-7-30,751,364
Engineer,2001-7-31,794,369
Engineer,2001-8-1,828,359
Engineer,2001-8-2,738,392
Engineer,2001-8-3,763,365
Engineer,2001-8-4,814,414
Engineer,2001-8-5,807,496
Engineer,2001-8-6,830,415
Engineer,2001-8-7,817,417
Engineer,2001-8-8,837,382
Engineer,2001-8-9,835,359
Engineer,2001-8-10,783,379
Engineer,2001-8-11,787,364
Engineer,2001-8-12,813,438
Engineer,2001-8-13,767,354
Engineer,2001-8-14,760,361
Engineer,2001-8-15,838,459
Engineer,2001-8-16,786,392
Engineer,2001-8-17,816,375
Engineer,2001-8-18,795,350
Engineer,2001-8-19,701,511
Engineer,2001-8-20,744,417
Engineer,2001-8-21,732,354
Engineer,2001-8-22,781,357
Engineer,2001-8-23,827,379
Engineer,2001-8-24,805,352
Engineer,2001-8-25,753,355
Engineer,2001-8-26,775,406
Engineer,2001-8-27,835,352
Engineer,2001-8-28,830,461
Engineer,2001-8-29,819,430
Engineer,2001-8-30,834,464
Engineer,2001-8-31,822,399
Engineer,2001-9-1,628,378
Engineer,2001-9-2,534,283
Engineer,2001-9-3,587,299
Engineer,2001-9-4,576,278
Engineer,2001-9-5,557,275
Engineer,2001-9-6,595,277
Engineer,2001-9-7,642,333
Engineer,2001-9-8,646,300
Engineer,2001-9-9,628,276
Engineer,2001-9-10,630,299
Engineer,2001-9-11,640,281
Engineer,2001-9-12,565,337
Engineer,2001-9-13,546,276
Engineer,2001-9-14,659,408
Engineer,2001-9-15,642,276
Engineer,2001-9-16,657,294
Engineer,2001-9-17,644,477
Engineer,2001-9-18,660,309
Engineer,2001-9-19,639,364
Engineer,2001-9-20,595,279
Engineer,2001-9-21,648,327
Engineer,2001-9-22,658,327
Engineer,2001-9-23,605,349
Engineer,2001-9-24,641,309
Engineer,2001-9-25,630,319
Engineer,2001-9-26,645,289
Engineer,2001-9-27,608,277
Engineer,2001-9-28,629,321
Engineer,2001-9-29,618,310
Engineer,2001-9-30,611,288
Engineer,2001-10-1,645,342
Engineer,2001-10-2,525,293
Engineer,2001-10-3,658,304
Engineer,2001-10-4,575,281
Engineer,2001-10-5,660,277
Engineer,2001-10-6,570,290
Engineer,2001-10-7,623,276
Engineer,2001-10-8,639,367
Engineer,2001-10-9,618,376
Engineer,2001-10-10,610,307
Engineer,2001-10-11,627,297
Engineer,2001-10-12,656,327
Engineer,2001-10-13,635,297
Engineer,2001-10-14,634,402
Engineer,2001-10-15,652,338
Engineer,2001-10-16,630,290
Engineer,2001-10-17,658,323
Engineer,2001-10-18,639,338
Engineer,2001-10-19,574,279
Engineer,2001-10-20,639,304
Engineer,2001-10-21,649,287
Engineer,2001-10-22,658,329
Engineer,2001-10-23,645,299
Engineer,2001-10-24,628,363
Engineer,2001-10-25,584,279
Engineer,2001-10-26,646,299
Engineer,2001-10-27,614,332
Engineer,2001-10-28,647,339
Engineer,2001-10-29,653,294
Engineer,2001-10-30,628,328
Engineer,2001-10-31,656,324
Engineer,2001-11-1,613,279
Engineer,2001-11-2,634,381
Engineer,2001-11-3,568,284
Engineer,2001-11-4,613,410
Engineer,2001-11-5,608,337
Engineer,2001-11-6,616,313
Engineer,2001-11-7,628,277
Engineer,2001-11-8,659,323
Engineer,2001-11-9,635,352
Engineer,2001-11-10,660,306
Engineer,2001-11-11,644,389
Engineer,2001-11-12,597,294
Engineer,2001-11-13,623,282
Engineer,2001-11-14,622,313
Engineer,2001-11-15,644,280
Engineer,2001-11-16,653,286
Engineer,2001-11-17,548,308
Engineer,2001-11-18,615,366
Engineer,2001-11-19,635,301
Engineer,2001-11-20,654,356
Engineer,2001-11-21,633,276
Engineer,2001-11-22,593,282
Engineer,2001-11-23,573,281
Engineer,2001-11-24,581,307
Engineer,2001-11-25,582,334
Engineer,2001-11-26,620,282
Engineer,2001-11-27,655,337
Engineer,2001-11-28,659,303
Engineer,2001-11-29,646,290
Engineer,2001-11-30,622,325
Engineer,2001-12-1,501,305
Engineer,2001-12-2,638,289
Engineer,2001-12-3,645,310
Engineer,2001-12-4,571,347
Engineer,2001-12-5,565,316
Engineer,2001-12-6,642,312
Engineer,2001-12-7,656,309
Engineer,2001-12-8,634,356
Engineer,2001-12-9,531,281
Engineer,2001-12-10,611,338
Engineer,2001-12-11,617,295
Engineer,2001-12-12,660,375
Engineer,2001-12-13,650,310
Engineer,2001-12-14,575,313
Engineer,2001-12-15,613,293
Engineer,2001-12-16,613,364
Engineer,2001-12-17,595,310
Engineer,2001-12-18,639,298
Engineer,2001-12-19,625,279
Engineer,2001-12-20,658,374
Engineer,2001-12-21,658,275
Engineer,2001-12-22,639,312
Engineer,2001-12-23,631,279
Engineer,2001-12-24,646,364
Engineer,2001-12-25,645,320
Engineer,2001-12-26,649,288
Engineer,2001-12-27,647,281
Engineer,2001-12-28,606,280
Engineer,2001-12-29,639,282
Engineer,2001-12-30,644,352
Engineer,2001-12-31,644,315
Engineer,2002-1-1,628,382
Engineer,2002-1-2,566,290
Engineer,2002-1-3,509,308
Engineer,2002-1-4,542,295
Engineer,2002-1-5,607,339
Engineer,2002-1-6,634,317
Engineer,2002-1-7,633,277
Engineer,2002-1-8,506,320
Engineer,2002-1-9,604,372
Engineer,2002-1-10,561,313
Engineer,2002-1-11,564,283
Engineer,2002-1-12,552,276
Engineer,2002-1-13,542,331
Engineer,2002-1-14,651,303
Engineer,2002-1-15,630,276
Engineer,2002-1-16,600,329
Engineer,2002-1-17,611,278
Engineer,2002-1-18,585,299
Engineer,2002-1-19,602,390
Engineer,2002-1-20,517,275
Engineer,2002-1-21,562,311
Engineer,2002-1-22,629,287
Engineer,2002-1-23,625,325
Engineer,2002-1-24,592,287
Engineer,2002-1-25,552,327
Engineer,2002-1-26,641,295
Engineer,2002-1-27,650,356
Engineer,2002-1-28,605,319
Engineer,2002-1-29,492,276
Engineer,2002-1-30,622,317
Engineer,2002-1-31,607,276
Engineer,2002-2-1,641,279
Engineer,2002-2-2,596,326
Engineer,2002-2-3,570,308
Engineer,2002-2-4,650,294
Engineer,2002-2-5,554,303
Engineer,2002-2-6,629,348
Engineer,2002-2-7,606,342
Engineer,2002-2-8,622,311
Engineer,2002-2-9,498,281
Engineer,2002-2-10,629,316
Engineer,2002-2-11,580,287
Engineer,2002-2-12,639,368
Engineer,2002-2-13,522,281
Engineer,2002-2-14,485,325
Engineer,2002-2-15,601,327
Engineer,2002-2-16,628,292
Engineer,2002-2-17,400,277
Engineer,2002-2-18,590,281
Engineer,2002-2-19,554,293
Engineer,2002-2-20,646,311
Engineer,2002-2-21,619,308
Engineer,2002-2-22,600,331
Engineer,2002-2-23,522,286
Engineer,2002-2-24,573,283
Engineer,2002-2-25,541,275
Engineer,2002-2-26,616,312
Engineer,2002-2-27,638,376
Engineer,2002-2-28,605,316
Engineer,2002-3-1,930,465
Engineer,2002-3-2,712,463
Engineer,2002-3-3,804,464
Engineer,2002-3-4,889,417
Engineer,2002-3-5,775,476
Engineer,2002-3-6,766,502
Engineer,2002-3-7,904,438
Engineer,2002-3-8,763,435
Engineer,2002-3-9,823,480
Engineer,2002-3-10,928,504
Engineer,2002-3-11,765,495
Engineer,2002-3-12,832,468
Engineer,2002-3-13,812,492
Engineer,2002-3-14,943,440
Engineer,2002-3-15,773,418
Engineer,2002-3-16,943,416
Engineer,2002-3-17,856,465
Engineer,2002-3-18,926,403
Engineer,2002-3-19,824,432
Engineer,2002-3-20,818,411
Engineer,2002-3-21,918,488
Engineer,2002-3-22,680,412
Engineer,2002-3-23,769,454
Engineer,2002-3-24,920,424
Engineer,2002-3-25,795,566
Engineer,2002-3-26,831,410
Engineer,2002-3-27,868,426
Engineer,2002-3-28,885,423
Engineer,2002-3-29,931,408
Engineer,2002-3-30,892,462
Engineer,2002-3-31,827,460
Engineer,2002-4-1,611,372
Engineer,2002-4-2,512,349
Engineer,2002-4-3,537,289
Engineer,2002-4-4,573,293
Engineer,2002-4-5,534,297
Engineer,2002-4-6,554,336
Engineer,2002-4-7,591,323
Engineer,2002-4-8,556,291
Engineer,2002-4-9,612,291
Engineer,2002-4-10,653,401
Engineer,2002-4-11,626,302
Engineer,2002-4-12,650,279
Engineer,2002-4-13,644,281
Engineer,2002-4-14,553,298
Engineer,2002-4-15,590,356
Engineer,2002-4-16,624,277
Engineer,2002-4-17,609,297
Engineer,2002-4-18,628,310
Engineer,2002-4-19,613,290
Engineer,2002-4-20,554,275
Engineer,2002-4-21,530,361
Engineer,2002-4-22,612,396
Engineer,2002-4-23,570,336
Engineer,2002-4-24,636,338
Engineer,2002-4-25,502,282
Engineer,2002-4-26,628,368
Engineer,2002-4-27,585,338
Engineer,2002-4-28,588,326
Engineer,2002-4-29,618,294
Engineer,2002-4-30,552,304
Engineer,2002-5-1,892,431
Engineer,2002-5-2,840,401
Engineer,2002-5-3,892,420
Engineer,2002-5-4,911,488
Engineer,2002-5-5,855,458
Engineer,2002-5-6,896,588
Engineer,2002-5-7,796,442
Engineer,2002-5-8,898,458
Engineer,2002-5-9,827,476
Engineer,2002-5-10,671,402
Engineer,2002-5-11,820,470
Engineer,2002-5-12,800,420
Engineer,2002-5-13,873,457
Engineer,2002-5-14,783,430
Engineer,2002-5-15,710,516
Engineer,2002-5-16,856,465
Engineer,2002-5-17,828,465
Engineer,2002-5-18,772,422
Engineer,2002-5-19,822,404
Engineer,2002-5-20,742,411
Engineer,2002-5-21,726,427
Engineer,2002-5-22,791,534
