sl,date,job,experience,rating,pperhour
134,2007-08-20,1,Engineer,4,2.1,420.0
135,2006-09-24,1,Engineer,2,1.4,154.0
136,2000-08-31,1,Engineer,4,4.3,2924.0
137,2002-07-08,1,Engineer,1,4.3,2580.0
138,2010-03-30,1,Engineer,4,2.7,378.0
139,2009-12-23,1,Engineer,3,2.3,368.0
140,2003-01-31,1,Engineer,3,4.5,2520.0
141,2008-04-11,1,Engineer,2,1.4,126.0
142,2006-11-09,1,Engineer,4,2.4,528.0
143,2005-05-20,1,Engineer,5,4.0,1440.0
144,2001-06-06,1,Engineer,4,2.3,736.0
145,2006-04-15,1,Engineer,3,4.4,1936.0
146,2001-08-17,1,Engineer,4,1.8,288.0
147,2008-11-13,1,Engineer,1,2.3,414.0
148,2008-08-30,1,Engineer,4,1.6,144.0
149,2009-08-30,1,Engineer,3,1.5,120.0
150,2008-08-05,1,Engineer,1,1.4,126.0
151,2003-08-23,1,Engineer,2,4.4,2464.0
152,2003-05-28,1,Engineer,4,3.2,1344.0
153,2009-10-31,1,Engineer,5,4.5,1440.0
154,2007-06-21,1,Engineer,1,2.1,420.0
155,2008-07-24,1,Engineer,5,4.7,1692.0
156,2009-04-07,1,Engineer,3,2.5,400.0
157,2002-12-13,1,Engineer,3,1.8,270.0
158,2005-05-30,1,Engineer,4,4.1,1968.0
159,2001-01-22,1,Engineer,1,4.0,1920.0
160,2006-08-26,1,Engineer,3,3.8,1254.0
161,2009-07-31,1,Engineer,5,2.8,448.0
162,2003-11-14,1,Engineer,3,3.0,840.0
163,2009-07-07,1,Engineer,2,1.4,112.0
164,2000-09-04,1,Engineer,5,4.5,3060.0
165,2005-03-17,1,Engineer,1,3.7,1332.0
166,2002-11-01,1,Engineer,2,4.6,2760.0
167,2001-01-26,1,Engineer,2,3.7,1776.0
168,2009-02-11,1,Engineer,1,2.8,448.0
169,2009-09-18,1,Engineer,1,4.2,1344.0
170,2004-03-12,1,Engineer,5,4.8,2496.0
171,2010-04-27,1,Engineer,3,3.3,693.0
172,2010-03-25,1,Engineer,1,3.9,819.0
173,2004-02-12,1,Engineer,4,2.3,598.0
174,2003-03-21,1,Engineer,2,1.2,168.0
175,2006-06-30,1,Engineer,5,2.5,550.0
176,2003-08-18,1,Engineer,4,1.5,210.0
177,2002-01-01,1,Engineer,2,4.0,1920.0
178,2002-02-25,1,Engineer,3,3.7,1665.0
179,2000-03-21,1,Engineer,3,1.3,221.0
180,2010-02-23,1,Engineer,3,4.8,1344.0
181,2007-07-06,1,Engineer,4,4.3,1720.0
182,2002-03-29,1,Engineer,1,2.7,810.0
183,2004-02-18,1,Engineer,1,1.9,247.0
184,2005-03-19,1,Engineer,5,4.3,2064.0
185,2010-02-13,1,Engineer,5,1.5,105.0
186,2000-08-02,1,Engineer,3,4.9,3332.0
187,2003-06-26,1,Engineer,5,4.0,1680.0
188,2000-12-01,1,Engineer,5,4.7,3196.0
189,2007-12-19,1,Engineer,2,1.2,120.0
190,2004-04-20,1,Engineer,3,4.4,2288.0
191,2002-10-21,1,Engineer,5,2.5,750.0
192,2009-08-10,1,Engineer,5,1.4,112.0
193,2007-01-27,1,Engineer,5,4.7,1880.0
194,2002-06-11,1,Engineer,2,1.6,240.0
195,2006-06-02,1,Engineer,3,1.9,209.0
196,2010-06-21,1,Engineer,1,2.2,308.0
197,2000-03-09,1,Engineer,2,3.2,1632.0
198,2005-11-26,1,Engineer,2,2.8,672.0
199,2005-05-15,1,Engineer,5,1.4,168.0
200,2003-01-19,1,Engineer,4,4.1,2296.0
201,2004-04-20,1,Engineer,3,2.5,650.0
202,2000-04-26,1,Engineer,4,3.5,1785.0
203,2000-05-17,1,Engineer,1,4.2,2856.0
204,2003-04-28,1,Engineer,2,2.7,756.0
205,2002-08-02,1,Engineer,3,1.7,255.0
206,2003-12-31,1,Engineer,5,2.7,756.0
207,2004-08-13,1,Engineer,4,2.0,260.0
208,2001-07-04,1,Engineer,5,4.2,2688.0
209,2000-09-30,1,Engineer,1,1.9,323.0
210,2005-02-22,1,Engineer,4,1.7,204.0
211,2009-09-23,1,Engineer,3,1.1,88.0
212,2005-12-01,1,Engineer,1,2.8,672.0
213,2006-03-15,1,Engineer,1,1.1,121.0
214,2002-05-29,1,Engineer,2,4.4,2640.0
215,2010-04-30,1,Engineer,2,2.2,308.0
216,2001-08-08,1,Engineer,2,3.3,1584.0
217,2005-02-06,1,Engineer,1,1.3,156.0
218,2000-02-22,1,Engineer,3,1.7,289.0
219,2003-07-03,1,Engineer,3,2.5,700.0
220,2005-04-02,1,Engineer,2,2.6,624.0
221,2001-03-14,1,Engineer,4,3.5,1680.0
222,2001-12-05,1,Engineer,3,3.7,1776.0
223,2007-12-26,1,Engineer,5,1.1,110.0
224,2006-03-11,1,Engineer,5,1.5,165.0
225,2006-07-02,1,Engineer,1,3.0,660.0
226,2010-06-02,1,Engineer,5,2.0,140.0
227,2003-07-02,1,Engineer,1,4.6,2576.0
228,2009-12-26,1,Engineer,4,2.3,368.0
229,2008-05-04,1,Engineer,4,3.0,540.0
230,2003-09-02,1,Engineer,2,1.7,238.0
231,2009-07-18,1,Engineer,2,2.5,400.0
232,2006-07-15,1,Engineer,2,4.2,1848.0
233,2000-06-21,1,Engineer,2,1.9,323.0
234,2002-03-16,1,Engineer,5,1.9,285.0
235,2010-04-16,1,Engineer,1,2.5,350.0
236,2002-11-10,1,Engineer,3,3.6,1620.0
237,2006-01-05,1,Engineer,1,1.7,187.0
238,2006-08-22,1,Engineer,3,1.7,187.0
239,2008-05-16,1,Engineer,4,3.1,837.0
240,2003-09-02,1,Engineer,3,4.7,2632.0
241,2008-12-05,1,Engineer,1,3.1,837.0
242,2004-07-01,1,Engineer,2,2.9,754.0
243,2003-06-23,1,Engineer,5,4.2,2352.0
244,2005-11-10,1,Engineer,1,1.9,228.0
245,2008-01-03,1,Engineer,3,2.2,396.0
246,2003-09-14,1,Engineer,3,1.4,196.0
247,2003-03-27,1,Engineer,2,4.2,2352.0
248,2002-09-27,1,Engineer,3,4.9,2940.0
249,2003-03-28,1,Engineer,4,3.6,1512.0
250,2005-03-18,1,Engineer,2,1.2,144.0
251,2009-07-29,1,Engineer,5,3.0,480.0
252,2003-10-06,1,Engineer,4,1.8,252.0
253,2003-03-17,1,Engineer,4,1.8,252.0
254,2007-05-09,1,Engineer,2,4.9,1960.0
255,2000-01-05,1,Engineer,1,4.5,3060.0
256,2006-07-02,1,Engineer,3,2.6,572.0
257,2008-06-04,1,Engineer,1,4.4,1584.0
258,2000-04-11,1,Engineer,1,4.3,2924.0
259,2005-03-29,1,Engineer,1,1.8,216.0
260,2002-05-19,1,Engineer,1,2.8,840.0
261,2010-03-07,1,Engineer,5,1.8,126.0
262,2002-04-20,1,Engineer,1,2.3,690.0
263,2008-07-21,1,Engineer,2,1.1,99.0
264,2009-01-26,1,Engineer,3,2.9,464.0
265,2008-05-15,1,Engineer,1,4.9,1764.0
266,2010-10-30,1,Engineer,4,4.0,840.0
267,2007-05-12,1,Engineer,1,1.8,180.0
268,2003-10-03,1,Engineer,1,1.3,182.0
269,2003-06-08,1,Engineer,2,2.9,812.0
270,2001-08-07,1,Engineer,1,2.9,928.0
271,2008-08-08,1,Engineer,1,2.0,180.0
272,2010-10-25,1,Engineer,1,1.3,91.0
273,2008-01-18,1,Engineer,1,2.5,450.0
274,2000-06-15,1,Engineer,4,3.3,1683.0
275,2002-10-03,1,Engineer,5,1.4,210.0
276,2010-04-27,1,Engineer,5,1.5,105.0
277,2009-07-02,1,Engineer,3,4.1,1312.0
278,2007-11-15,1,Engineer,5,4.3,1720.0
279,2004-11-17,1,Engineer,4,1.1,143.0
280,2000-06-27,1,Engineer,5,3.7,1887.0
281,2010-04-08,1,Engineer,1,3.1,651.0
282,2001-10-16,1,Engineer,3,2.0,320.0
283,2009-03-28,1,Engineer,5,2.2,352.0
284,2007-02-05,1,Engineer,1,2.4,480.0
285,2004-06-28,1,Engineer,2,2.6,676.0
286,2006-06-01,1,Engineer,1,2.1,462.0
287,2006-05-13,1,Engineer,3,1.5,165.0
288,2003-03-22,1,Engineer,2,2.8,784.0
289,2002-04-14,1,Engineer,3,2.5,750.0
290,2000-12-30,1,Engineer,2,4.2,2856.0
291,2001-07-02,1,Engineer,5,1.6,256.0
292,2008-09-11,1,Engineer,3,3.9,1053.0
293,2000-05-03,1,Engineer,5,2.4,816.0
294,2002-06-10,1,Engineer,5,4.0,1800.0
295,2004-05-17,1,Engineer,4,3.0,780.0
296,2007-06-11,1,Engineer,1,4.8,1920.0
297,2008-11-01,1,Engineer,5,1.6,144.0
298,2002-07-23,1,Engineer,4,4.8,2880.0
299,2007-01-12,1,Engineer,3,2.4,480.0
300,2007-01-15,1,Engineer,3,3.9,1170.0
301,2002-03-04,1,Engineer,1,3.6,1620.0
302,2003-06-06,1,Engineer,2,2.9,812.0
303,2002-03-22,1,Engineer,4,3.7,1665.0
304,2006-10-02,1,Engineer,4,2.3,506.0
305,2000-11-20,1,Engineer,2,3.5,1785.0
306,2006-07-08,1,Engineer,1,4.6,2024.0
307,2001-04-25,1,Engineer,5,3.8,1824.0
308,2010-08-11,1,Engineer,3,2.6,364.0
309,2001-07-26,1,Engineer,3,2.8,896.0
310,2006-11-08,1,Engineer,3,2.0,220.0
311,2005-03-18,1,Engineer,4,1.0,120.0
312,2010-12-08,1,Engineer,5,3.8,798.0
313,2008-06-25,1,Engineer,3,3.4,918.0
314,2007-07-23,1,Engineer,3,1.2,120.0
315,2009-04-18,1,Engineer,3,2.3,368.0
316,2008-10-01,1,Engineer,1,2.6,468.0
317,2007-03-17,1,Engineer,2,2.9,580.0
318,2002-06-18,1,Engineer,2,2.4,720.0
319,2002-01-13,1,Engineer,2,1.4,210.0
320,2005-07-28,1,Engineer,4,1.3,156.0
321,2005-08-12,1,Engineer,2,3.2,1152.0
322,2008-10-23,1,Engineer,4,1.9,171.0
323,2001-10-22,1,Engineer,4,1.7,272.0
324,2001-12-20,1,Engineer,5,1.4,224.0
325,2005-09-17,1,Engineer,5,1.2,144.0
326,2006-05-22,1,Engineer,5,4.9,2156.0
327,2010-11-16,1,Engineer,3,4.2,1176.0
328,2009-04-08,1,Engineer,3,4.2,1344.0
329,2006-05-20,1,Engineer,4,1.5,165.0
330,2010-03-07,1,Engineer,4,4.0,840.0
331,2009-08-20,1,Engineer,2,1.0,80.0
332,2005-12-03,1,Engineer,2,3.6,1296.0
333,2005-07-15,1,Engineer,2,3.7,1332.0
334,2005-06-29,1,Engineer,2,4.6,2208.0
335,2004-11-20,1,Engineer,1,3.9,1521.0
336,2008-01-31,1,Engineer,5,3.9,1053.0
337,2003-02-19,1,Engineer,5,4.7,2632.0
338,2003-06-26,1,Engineer,4,3.6,1512.0
339,2000-01-22,1,Engineer,3,4.1,2788.0
340,2002-12-29,1,Engineer,4,1.2,180.0
341,2007-01-01,1,Engineer,2,4.7,2068.0
342,2007-12-10,1,Engineer,3,3.4,1020.0
343,2004-04-21,1,Engineer,3,1.4,182.0
344,2002-10-27,1,Engineer,3,4.7,2820.0
345,2008-01-12,1,Engineer,2,3.3,891.0
346,2001-05-10,1,Engineer,2,3.1,1488.0
347,2010-06-02,1,Engineer,3,4.4,1232.0
348,2010-02-13,1,Engineer,3,4.4,1232.0
349,2006-03-07,1,Engineer,5,1.8,198.0
350,2003-04-20,1,Engineer,4,2.4,672.0
351,2000-09-25,1,Engineer,5,3.7,1887.0
352,2006-04-04,1,Engineer,1,2.3,506.0
353,2003-06-04,1,Engineer,1,1.6,224.0
354,2008-07-03,1,Engineer,5,3.4,918.0
355,2007-03-25,1,Engineer,2,4.2,1680.0
356,2000-05-31,1,Engineer,3,4.4,2992.0
357,2010-08-10,1,Engineer,4,3.6,756.0
358,2010-10-08,1,Engineer,4,1.2,84.0
359,2003-03-15,1,Engineer,3,2.9,812.0
360,2001-05-10,1,Engineer,1,1.5,240.0
361,2005-07-21,1,Engineer,4,4.3,2064.0
362,2005-07-27,1,Engineer,5,3.9,1404.0
363,2008-01-27,1,Engineer,4,3.3,891.0
364,2001-08-28,1,Engineer,5,2.5,800.0
365,2007-08-07,1,Engineer,4,4.6,1840.0
366,2002-12-21,1,Engineer,1,3.8,1710.0
367,2003-08-24,1,Engineer,3,3.5,1470.0
368,2000-12-09,1,Engineer,4,3.8,1938.0
369,2004-10-27,1,Engineer,1,3.0,780.0
370,2007-09-29,1,Engineer,3,2.0,200.0
371,2009-08-04,1,Engineer,2,4.9,1568.0
372,2010-11-18,1,Engineer,4,1.2,84.0
373,2000-07-21,1,Engineer,5,3.9,1989.0
374,2006-12-27,1,Engineer,5,2.6,572.0
375,2009-12-29,1,Engineer,2,4.2,1344.0
376,2000-05-12,1,Engineer,1,1.8,306.0
377,2001-03-09,1,Engineer,3,1.8,288.0
378,2006-12-14,1,Engineer,5,3.6,1188.0
379,2009-07-18,1,Engineer,1,3.6,864.0
380,2006-02-01,1,Engineer,4,3.8,1254.0
381,2009-03-01,1,Engineer,5,3.9,936.0
382,2007-11-16,1,Engineer,4,4.9,1960.0
383,2009-11-05,1,Engineer,4,1.7,136.0
384,2006-02-19,1,Engineer,3,2.3,506.0
385,2006-07-02,1,Engineer,2,1.9,209.0
386,2008-11-28,1,Engineer,3,3.0,540.0
387,2005-10-08,1,Engineer,5,2.3,552.0
388,2009-07-25,1,Engineer,5,3.5,840.0
389,2004-05-18,1,Engineer,1,4.6,2392.0
390,2005-10-12,1,Engineer,5,3.1,1116.0
391,2000-05-27,1,Engineer,3,4.6,3128.0
392,2004-06-08,1,Engineer,2,4.1,2132.0
393,2000-11-09,1,Engineer,2,3.7,1887.0
394,2010-08-24,1,Engineer,1,3.0,420.0
395,2005-04-24,1,Engineer,3,3.0,720.0
396,2009-04-21,1,Engineer,5,2.3,368.0
397,2004-04-23,1,Engineer,4,2.8,728.0
398,2009-02-22,1,Engineer,5,4.8,1536.0
399,2007-02-12,1,Engineer,4,4.1,1640.0
400,2003-05-07,1,Engineer,1,1.7,238.0
401,2007-06-23,1,Engineer,1,3.1,930.0
402,2004-09-24,1,Engineer,3,2.2,572.0
403,2008-11-30,1,Engineer,5,2.3,414.0
404,2009-10-18,1,Engineer,4,1.2,96.0
405,2010-04-09,1,Engineer,5,1.8,126.0
406,2004-06-13,1,Engineer,1,2.4,624.0
407,2007-03-17,1,Engineer,2,3.6,1080.0
408,2009-04-20,1,Engineer,5,1.8,144.0
409,2008-09-20,1,Engineer,1,1.7,153.0
410,2008-01-24,1,Engineer,3,2.8,504.0
411,2003-01-08,1,Engineer,3,2.5,700.0
412,2004-08-14,1,Engineer,1,4.7,2444.0
413,2008-04-29,1,Engineer,4,3.4,918.0
414,2009-09-18,1,Engineer,4,3.3,792.0
415,2005-08-12,1,Engineer,5,3.7,1332.0
416,2001-06-15,1,Engineer,3,3.3,1584.0
417,2000-01-03,1,Engineer,4,4.0,2040.0
418,2001-01-11,1,Engineer,5,3.7,1776.0
419,2000-03-11,1,Engineer,3,1.5,255.0
420,2000-01-14,1,Engineer,2,2.0,340.0
421,2009-06-15,1,Engineer,4,2.3,368.0
422,2001-12-02,1,Engineer,2,2.9,928.0
423,2003-07-20,1,Engineer,3,4.7,2632.0
424,2010-03-29,1,Engineer,1,4.7,1316.0
425,2006-03-23,1,Engineer,2,4.2,1848.0
426,2005-12-08,1,Engineer,4,3.9,1404.0
427,2002-05-29,1,Engineer,5,4.1,2460.0
428,2009-08-29,1,Engineer,1,1.3,104.0
429,2000-06-18,1,Engineer,2,1.6,272.0
430,2004-10-20,1,Engineer,3,4.2,2184.0
431,2006-12-21,1,Engineer,2,3.1,1023.0
432,2000-10-29,1,Engineer,3,2.4,816.0
433,2003-10-11,1,Engineer,4,2.0,280.0
434,2002-02-07,1,Engineer,4,4.4,2640.0
435,2010-08-24,1,Engineer,5,4.4,1232.0
436,2006-05-20,1,Engineer,5,1.8,198.0
437,2009-02-27,1,Engineer,1,1.6,128.0
438,2008-09-15,1,Engineer,4,2.8,504.0
439,2008-12-15,1,Engineer,2,3.5,945.0
440,2005-10-22,1,Engineer,3,2.1,504.0
441,2008-08-19,1,Engineer,4,3.8,1026.0
442,2005-02-13,1,Engineer,3,1.5,180.0
443,2008-06-01,1,Engineer,2,1.3,117.0
444,2009-07-02,1,Engineer,5,1.2,96.0
445,2007-09-26,1,Engineer,3,2.2,440.0
446,2006-09-06,1,Engineer,3,2.7,594.0
447,2010-01-26,1,Engineer,3,1.8,126.0
448,2004-10-27,1,Engineer,1,3.9,1521.0
449,2006-07-11,1,Engineer,1,4.3,1892.0
450,2002-04-16,1,Engineer,5,3.8,1710.0
451,2001-01-29,1,Engineer,4,4.0,1920.0
452,2006-03-03,1,Engineer,5,3.7,1221.0
453,2007-09-07,1,Engineer,4,3.3,990.0
454,2009-10-23,1,Engineer,1,2.7,432.0
455,2009-05-14,1,Engineer,5,3.5,840.0
456,2005-08-16,1,Engineer,2,1.8,216.0
457,2007-08-21,1,Engineer,1,2.4,480.0
458,2000-11-05,1,Engineer,5,2.6,884.0
459,2002-08-28,1,Engineer,5,3.0,900.0
460,2010-12-16,1,Engineer,3,4.5,1260.0
461,2008-08-28,1,Engineer,4,1.5,135.0
462,2009-10-02,1,Engineer,3,3.6,864.0
463,2002-03-23,1,Engineer,1,4.0,1800.0
464,2010-07-03,1,Engineer,4,3.9,819.0
465,2008-04-15,1,Engineer,3,3.7,999.0
466,2000-07-21,1,Engineer,4,4.2,2856.0
467,2002-12-09,1,Engineer,3,4.9,2940.0
468,2007-06-25,1,Engineer,4,2.1,420.0
469,2000-01-06,1,Engineer,3,4.7,3196.0
470,2002-10-17,1,Engineer,2,3.3,1485.0
471,2004-07-02,1,Engineer,3,4.1,2132.0
472,2009-08-14,1,Engineer,2,2.8,448.0
473,2008-02-10,1,Engineer,4,2.7,486.0
474,2003-09-24,1,Engineer,5,1.0,140.0
475,2006-04-01,1,Engineer,2,3.5,1155.0
476,2002-07-07,1,Engineer,1,4.1,2460.0
477,2008-02-26,1,Engineer,4,2.9,522.0
478,2003-05-07,1,Engineer,2,4.4,2464.0
479,2004-11-20,1,Engineer,5,2.9,754.0
480,2004-03-19,1,Engineer,4,1.8,234.0
481,2006-07-12,1,Engineer,4,3.3,1089.0
482,2009-10-09,1,Engineer,5,4.9,1568.0
483,2000-12-27,1,Engineer,2,2.1,714.0
484,2009-02-03,1,Engineer,4,4.5,1440.0
485,2008-08-17,1,Engineer,3,3.1,837.0
486,2004-03-12,1,Engineer,3,1.4,182.0
487,2005-03-29,1,Engineer,3,2.7,648.0
488,2001-04-05,1,Engineer,5,3.7,1776.0
489,2006-11-19,1,Engineer,5,4.6,2024.0
490,2003-02-08,1,Engineer,5,2.6,728.0
491,2001-06-13,1,Engineer,1,1.2,192.0
492,2009-03-03,1,Engineer,1,1.6,128.0
493,2010-12-16,1,Engineer,5,1.9,133.0
494,2009-04-06,1,Engineer,4,1.7,136.0
495,2002-01-30,1,Engineer,5,4.9,2940.0
496,2007-12-08,1,Engineer,2,4.3,1720.0
497,2003-05-19,1,Engineer,1,4.0,1680.0
498,2000-03-25,1,Engineer,5,2.6,884.0
499,2004-08-30,1,Engineer,1,3.7,1443.0
500,2007-11-22,1,Engineer,3,3.9,1170.0
501,2003-10-18,1,Engineer,5,1.5,210.0
502,2006-08-01,1,Engineer,2,4.5,1980.0
503,2004-05-23,1,Engineer,3,4.6,2392.0
504,2009-03-01,1,Engineer,1,3.0,480.0
505,2001-07-08,1,Engineer,3,1.0,160.0
506,2008-12-09,1,Engineer,1,3.8,1026.0
507,2009-10-27,1,Engineer,3,2.6,416.0
508,2002-11-01,1,Engineer,3,3.8,1710.0
509,2009-10-02,1,Engineer,1,3.6,864.0
510,2005-11-03,1,Engineer,5,3.6,1296.0
511,2008-02-14,1,Engineer,1,4.2,1512.0
512,2004-09-24,1,Engineer,3,4.8,2496.0
513,2007-06-22,1,Engineer,5,2.6,520.0
514,2000-03-08,1,Engineer,5,4.2,2856.0
515,2008-10-15,1,Engineer,2,3.0,540.0
516,2006-01-13,1,Engineer,2,4.2,1848.0
517,2009-01-09,1,Engineer,4,2.2,352.0
518,2000-11-18,1,Engineer,3,1.7,289.0
519,2009-02-10,1,Engineer,2,2.5,400.0
520,2007-12-15,1,Engineer,4,4.7,1880.0
521,2004-01-07,1,Engineer,2,2.7,702.0
522,2003-05-01,1,Engineer,2,3.8,1596.0
523,2004-10-17,1,Engineer,4,1.1,143.0
524,2010-02-23,1,Engineer,3,4.6,1288.0
525,2001-08-19,1,Engineer,2,3.5,1680.0
526,2003-03-14,1,Engineer,5,2.4,672.0
527,2007-09-26,1,Engineer,4,2.8,560.0
