job,date,maxsal
Engineer,2000-5-10,937
Engineer,2000-5-11,856
Engineer,2000-5-12,817
Engineer,2000-5-13,926
Engineer,2000-5-14,826
Engineer,2000-5-15,899
Engineer,2000-5-16,843
Engineer,2000-5-17,839
Engineer,2000-5-18,745
Engineer,2000-5-19,848
Engineer,2000-5-20,852
Engineer,2000-5-21,848
Engineer,2000-5-22,898
Engineer,2000-5-23,808
Engineer,2000-5-24,822
Engineer,2000-5-25,946
Engineer,2000-5-26,920
Engineer,2000-5-27,840
Engineer,2000-5-28,792
Engineer,2000-5-29,871
Engineer,2000-5-30,937
Engineer,2000-5-31,850
Engineer,2000-6-1,592
Engineer,2000-6-2,596
Engineer,2000-6-3,624
Engineer,2000-6-4,555
Engineer,2000-6-5,604
Engineer,2000-6-6,538
Engineer,2000-6-7,545
Engineer,2000-6-8,530
Engineer,2000-6-9,553
Engineer,2000-6-10,656
Engineer,2000-6-11,618
Engineer,2000-6-12,650
Engineer,2000-6-13,523
Engineer,2000-6-14,624
Engineer,2000-6-15,576
Engineer,2000-6-16,640
Engineer,2000-6-17,618
Engineer,2000-6-18,598
Engineer,2000-6-19,644
Engineer,2000-6-20,639
Engineer,2000-6-21,561
Engineer,2000-6-22,609
Engineer,2000-6-23,648
Engineer,2000-6-24,612
Engineer,2000-6-25,557
Engineer,2000-6-26,634
Engineer,2000-6-27,448
Engineer,2000-6-28,614
Engineer,2000-6-29,618
Engineer,2000-6-30,603
Engineer,2000-7-1,693
Engineer,2000-7-2,709
Engineer,2000-7-3,686
Engineer,2000-7-4,609
Engineer,2000-7-5,739
Engineer,2000-7-6,819
Engineer,2000-7-7,769
Engineer,2000-7-8,758
Engineer,2000-7-9,637
Engineer,2000-7-10,773
Engineer,2000-7-11,767
Engineer,2000-7-12,744
Engineer,2000-7-13,688
Engineer,2000-7-14,547
Engineer,2000-7-15,764
Engineer,2000-7-16,807
Engineer,2000-7-17,759
Engineer,2000-7-18,777
Engineer,2000-7-19,784
Engineer,2000-7-20,801
Engineer,2000-7-21,746
Engineer,2000-7-22,732
Engineer,2000-7-23,818
Engineer,2000-7-24,629
Engineer,2000-7-25,710
Engineer,2000-7-26,733
Engineer,2000-7-27,711
Engineer,2000-7-28,829
Engineer,2000-7-29,751
Engineer,2000-7-30,805
Engineer,2000-7-31,690
Engineer,2000-8-1,704
Engineer,2000-8-2,667
Engineer,2000-8-3,729
Engineer,2000-8-4,750
Engineer,2000-8-5,708
Engineer,2000-8-6,739
Engineer,2000-8-7,758
Engineer,2000-8-8,784
Engineer,2000-8-9,709
Engineer,2000-8-10,828
Engineer,2000-8-11,652
Engineer,2000-8-12,821
Engineer,2000-8-13,804
Engineer,2000-8-14,655
Engineer,2000-8-15,657
Engineer,2000-8-16,717
Engineer,2000-8-17,557
Engineer,2000-8-18,696
Engineer,2000-8-19,774
Engineer,2000-8-20,793
Engineer,2000-8-21,725
Engineer,2000-8-22,795
Engineer,2000-8-23,718
Engineer,2000-8-24,760
Engineer,2000-8-25,677
Engineer,2000-8-26,752
Engineer,2000-8-27,819
Engineer,2000-8-28,777
Engineer,2000-8-29,784
Engineer,2000-8-30,768
Engineer,2000-8-31,771
Engineer,2000-9-1,598
Engineer,2000-9-2,635
Engineer,2000-9-3,626
Engineer,2000-9-4,590
Engineer,2000-9-5,532
Engineer,2000-9-6,638
Engineer,2000-9-7,591
Engineer,2000-9-8,612
Engineer,2000-9-9,638
Engineer,2000-9-10,608
Engineer,2000-9-11,626
Engineer,2000-9-12,601
Engineer,2000-9-13,589
Engineer,2000-9-14,617
Engineer,2000-9-15,546
Engineer,2000-9-16,600
Engineer,2000-9-17,574
Engineer,2000-9-18,619
Engineer,2000-9-19,605
Engineer,2000-9-20,609
Engineer,2000-9-21,593
Engineer,2000-9-22,616
Engineer,2000-9-23,548
Engineer,2000-9-24,618
Engineer,2000-9-25,619
Engineer,2000-9-26,618
Engineer,2000-9-27,583
Engineer,2000-9-28,574
Engineer,2000-9-29,644
Engineer,2000-9-30,585
Engineer,2000-10-1,636
Engineer,2000-10-2,596
Engineer,2000-10-3,469
Engineer,2000-10-4,544
Engineer,2000-10-5,558
Engineer,2000-10-6,614
Engineer,2000-10-7,584
Engineer,2000-10-8,604
Engineer,2000-10-9,573
Engineer,2000-10-10,623
Engineer,2000-10-11,464
Engineer,2000-10-12,612
Engineer,2000-10-13,607
Engineer,2000-10-14,655
Engineer,2000-10-15,584
Engineer,2000-10-16,563
Engineer,2000-10-17,584
Engineer,2000-10-18,540
Engineer,2000-10-19,534
Engineer,2000-10-20,541
Engineer,2000-10-21,589
Engineer,2000-10-22,565
Engineer,2000-10-23,533
Engineer,2000-10-24,613
Engineer,2000-10-25,642
Engineer,2000-10-26,569
Engineer,2000-10-27,559
Engineer,2000-10-28,645
Engineer,2000-10-29,606
Engineer,2000-10-30,575
Engineer,2000-10-31,645
Engineer,2000-11-1,572
Engineer,2000-11-2,647
Engineer,2000-11-3,639
Engineer,2000-11-4,598
Engineer,2000-11-5,598
Engineer,2000-11-6,533
Engineer,2000-11-7,574
Engineer,2000-11-8,642
Engineer,2000-11-9,591
Engineer,2000-11-10,617
Engineer,2000-11-11,614
Engineer,2000-11-12,565
Engineer,2000-11-13,553
Engineer,2000-11-14,526
Engineer,2000-11-15,573
Engineer,2000-11-16,564
Engineer,2000-11-17,560
Engineer,2000-11-18,505
Engineer,2000-11-19,536
Engineer,2000-11-20,558
Engineer,2000-11-21,586
Engineer,2000-11-22,584
Engineer,2000-11-23,601
Engineer,2000-11-24,530
Engineer,2000-11-25,540
Engineer,2000-11-26,616
Engineer,2000-11-27,582
Engineer,2000-11-28,606
Engineer,2000-11-29,641
Engineer,2000-11-30,476
Engineer,2000-12-1,582
Engineer,2000-12-2,585
Engineer,2000-12-3,586
Engineer,2000-12-4,629
Engineer,2000-12-5,595
Engineer,2000-12-6,638
Engineer,2000-12-7,559
Engineer,2000-12-8,579
Engineer,2000-12-9,575
Engineer,2000-12-10,604
Engineer,2000-12-11,600
Engineer,2000-12-12,549
Engineer,2000-12-13,628
Engineer,2000-12-14,574
Engineer,2000-12-15,538
Engineer,2000-12-16,547
Engineer,2000-12-17,621
Engineer,2000-12-18,614
Engineer,2000-12-19,636
Engineer,2000-12-20,521
Engineer,2000-12-21,630
Engineer,2000-12-22,565
Engineer,2000-12-23,602
Engineer,2000-12-24,639
Engineer,2000-12-25,575
Engineer,2000-12-26,542
Engineer,2000-12-27,592
Engineer,2000-12-28,434
Engineer,2000-12-29,608
Engineer,2000-12-30,523
Engineer,2000-12-31,594
Engineer,2001-1-1,569
Engineer,2001-1-2,635
Engineer,2001-1-3,611
Engineer,2001-1-4,658
Engineer,2001-1-5,655
Engineer,2001-1-6,641
Engineer,2001-1-7,611
Engineer,2001-1-8,641
Engineer,2001-1-9,631
Engineer,2001-1-10,617
Engineer,2001-1-11,658
Engineer,2001-1-12,633
Engineer,2001-1-13,603
Engineer,2001-1-14,625
Engineer,2001-1-15,628
Engineer,2001-1-16,643
Engineer,2001-1-17,641
Engineer,2001-1-18,646
Engineer,2001-1-19,635
Engineer,2001-1-20,640
Engineer,2001-1-21,637
Engineer,2001-1-22,641
Engineer,2001-1-23,652
Engineer,2001-1-24,535
Engineer,2001-1-25,560
Engineer,2001-1-26,616
Engineer,2001-1-27,582
Engineer,2001-1-28,589
Engineer,2001-1-29,630
Engineer,2001-1-30,623
Engineer,2001-1-31,622
Engineer,2001-2-1,636
Engineer,2001-2-2,618
Engineer,2001-2-3,657
Engineer,2001-2-4,607
Engineer,2001-2-5,655
Engineer,2001-2-6,659
Engineer,2001-2-7,630
Engineer,2001-2-8,645
Engineer,2001-2-9,644
Engineer,2001-2-10,650
Engineer,2001-2-11,599
Engineer,2001-2-12,649
Engineer,2001-2-13,642
Engineer,2001-2-14,636
Engineer,2001-2-15,609
Engineer,2001-2-16,597
Engineer,2001-2-17,646
Engineer,2001-2-18,653
Engineer,2001-2-19,656
Engineer,2001-2-20,651
Engineer,2001-2-21,616
Engineer,2001-2-22,647
Engineer,2001-2-23,649
Engineer,2001-2-24,629
Engineer,2001-2-25,653
Engineer,2001-2-26,651
Engineer,2001-2-27,567
Engineer,2001-2-28,651
Engineer,2001-3-1,948
Engineer,2001-3-2,912
Engineer,2001-3-3,885
Engineer,2001-3-4,850
Engineer,2001-3-5,944
Engineer,2001-3-6,908
Engineer,2001-3-7,958
Engineer,2001-3-8,917
Engineer,2001-3-9,920
Engineer,2001-3-10,902
Engineer,2001-3-11,932
Engineer,2001-3-12,851
Engineer,2001-3-13,884
Engineer,2001-3-14,932
Engineer,2001-3-15,948
Engineer,2001-3-16,937
Engineer,2001-3-17,903
Engineer,2001-3-18,908
Engineer,2001-3-19,924
Engineer,2001-3-20,946
Engineer,2001-3-21,852
Engineer,2001-3-22,953
Engineer,2001-3-23,748
Engineer,2001-3-24,929
Engineer,2001-3-25,952
Engineer,2001-3-26,960
Engineer,2001-3-27,922
Engineer,2001-3-28,952
Engineer,2001-3-29,872
Engineer,2001-3-30,956
Engineer,2001-3-31,872
Engineer,2001-4-1,536
Engineer,2001-4-2,599
Engineer,2001-4-3,614
Engineer,2001-4-4,605
Engineer,2001-4-5,640
Engineer,2001-4-6,633
Engineer,2001-4-7,622
Engineer,2001-4-8,619
Engineer,2001-4-9,577
Engineer,2001-4-10,607
Engineer,2001-4-11,618
Engineer,2001-4-12,660
Engineer,2001-4-13,553
Engineer,2001-4-14,647
Engineer,2001-4-15,619
Engineer,2001-4-16,618
Engineer,2001-4-17,600
Engineer,2001-4-18,621
Engineer,2001-4-19,624
Engineer,2001-4-20,599
Engineer,2001-4-21,636
Engineer,2001-4-22,575
Engineer,2001-4-23,649
Engineer,2001-4-24,611
Engineer,2001-4-25,630
Engineer,2001-4-26,647
Engineer,2001-4-27,659
Engineer,2001-4-28,650
Engineer,2001-4-29,652
Engineer,2001-4-30,640
Engineer,2001-5-1,938
Engineer,2001-5-2,936
Engineer,2001-5-3,933
Engineer,2001-5-4,901
Engineer,2001-5-5,864
Engineer,2001-5-6,919
Engineer,2001-5-7,899
Engineer,2001-5-8,868
Engineer,2001-5-9,928
Engineer,2001-5-10,915
Engineer,2001-5-11,948
Engineer,2001-5-12,953
Engineer,2001-5-13,900
Engineer,2001-5-14,951
Engineer,2001-5-15,882
Engineer,2001-5-16,892
Engineer,2001-5-17,945
Engineer,2001-5-18,953
Engineer,2001-5-19,949
Engineer,2001-5-20,766
Engineer,2001-5-21,941
Engineer,2001-5-22,940
Engineer,2001-5-23,916
Engineer,2001-5-24,933
Engineer,2001-5-25,892
Engineer,2001-5-26,927
Engineer,2001-5-27,844
Engineer,2001-5-28,847
Engineer,2001-5-29,951
Engineer,2001-5-30,960
Engineer,2001-5-31,948
Engineer,2001-6-1,656
Engineer,2001-6-2,643
Engineer,2001-6-3,640
Engineer,2001-6-4,659
Engineer,2001-6-5,607
Engineer,2001-6-6,633
Engineer,2001-6-7,648
Engineer,2001-6-8,634
Engineer,2001-6-9,616
Engineer,2001-6-10,606
Engineer,2001-6-11,649
Engineer,2001-6-12,614
Engineer,2001-6-13,640
Engineer,2001-6-14,544
Engineer,2001-6-15,614
Engineer,2001-6-16,645
Engineer,2001-6-17,641
Engineer,2001-6-18,612
Engineer,2001-6-19,631
Engineer,2001-6-20,660
Engineer,2001-6-21,656
Engineer,2001-6-22,649
Engineer,2001-6-23,631
Engineer,2001-6-24,519
Engineer,2001-6-25,547
Engineer,2001-6-26,613
Engineer,2001-6-27,610
Engineer,2001-6-28,605
Engineer,2001-6-29,652
Engineer,2001-6-30,553
Engineer,2001-7-1,718
Engineer,2001-7-2,837
Engineer,2001-7-3,836
Engineer,2001-7-4,838
Engineer,2001-7-5,796
Engineer,2001-7-6,756
Engineer,2001-7-7,812
Engineer,2001-7-8,826
Engineer,2001-7-9,832
Engineer,2001-7-10,835
Engineer,2001-7-11,814
Engineer,2001-7-12,786
Engineer,2001-7-13,714
Engineer,2001-7-14,753
Engineer,2001-7-15,777
Engineer,2001-7-16,826
Engineer,2001-7-17,779
Engineer,2001-7-18,758
Engineer,2001-7-19,831
Engineer,2001-7-20,833
Engineer,2001-7-21,816
Engineer,2001-7-22,826
Engineer,2001-7-23,739
Engineer,2001-7-24,744
Engineer,2001-7-25,830
Engineer,2001-7-26,809
Engineer,2001-7-27,791
Engineer,2001-7-28,803
Engineer,2001-7-29,802
Engineer,2001-7-30,751
Engineer,2001-7-31,794
Engineer,2001-8-1,828
Engineer,2001-8-2,738
Engineer,2001-8-3,763
Engineer,2001-8-4,814
Engineer,2001-8-5,807
Engineer,2001-8-6,830
Engineer,2001-8-7,817
Engineer,2001-8-8,837
Engineer,2001-8-9,835
Engineer,2001-8-10,783
Engineer,2001-8-11,787
Engineer,2001-8-12,813
Engineer,2001-8-13,767
Engineer,2001-8-14,760
Engineer,2001-8-15,838
Engineer,2001-8-16,786
Engineer,2001-8-17,816
Engineer,2001-8-18,795
Engineer,2001-8-19,701
Engineer,2001-8-20,744
Engineer,2001-8-21,732
Engineer,2001-8-22,781
Engineer,2001-8-23,827
Engineer,2001-8-24,805
Engineer,2001-8-25,753
Engineer,2001-8-26,775
Engineer,2001-8-27,835
Engineer,2001-8-28,830
Engineer,2001-8-29,819
Engineer,2001-8-30,834
Engineer,2001-8-31,822
Engineer,2001-9-1,628
Engineer,2001-9-2,534
Engineer,2001-9-3,587
Engineer,2001-9-4,576
Engineer,2001-9-5,557
Engineer,2001-9-6,595
Engineer,2001-9-7,642
Engineer,2001-9-8,646
Engineer,2001-9-9,628
Engineer,2001-9-10,630
Engineer,2001-9-11,640
Engineer,2001-9-12,565
Engineer,2001-9-13,546
Engineer,2001-9-14,659
Engineer,2001-9-15,642
Engineer,2001-9-16,657
Engineer,2001-9-17,644
Engineer,2001-9-18,660
Engineer,2001-9-19,639
Engineer,2001-9-20,595
Engineer,2001-9-21,648
Engineer,2001-9-22,658
Engineer,2001-9-23,605
Engineer,2001-9-24,641
Engineer,2001-9-25,630
Engineer,2001-9-26,645
Engineer,2001-9-27,608
Engineer,2001-9-28,629
Engineer,2001-9-29,618
Engineer,2001-9-30,611
Engineer,2001-10-1,645
Engineer,2001-10-2,525
Engineer,2001-10-3,658
Engineer,2001-10-4,575
Engineer,2001-10-5,660
Engineer,2001-10-6,570
Engineer,2001-10-7,623
Engineer,2001-10-8,639
Engineer,2001-10-9,618
Engineer,2001-10-10,610
Engineer,2001-10-11,627
Engineer,2001-10-12,656
Engineer,2001-10-13,635
Engineer,2001-10-14,634
Engineer,2001-10-15,652
Engineer,2001-10-16,630
Engineer,2001-10-17,658
Engineer,2001-10-18,639
Engineer,2001-10-19,574
Engineer,2001-10-20,639
Engineer,2001-10-21,649
Engineer,2001-10-22,658
Engineer,2001-10-23,645
Engineer,2001-10-24,628
Engineer,2001-10-25,584
Engineer,2001-10-26,646
Engineer,2001-10-27,614
Engineer,2001-10-28,647
Engineer,2001-10-29,653
Engineer,2001-10-30,628
Engineer,2001-10-31,656
Engineer,2001-11-1,613
Engineer,2001-11-2,634
Engineer,2001-11-3,568
Engineer,2001-11-4,613
Engineer,2001-11-5,608
Engineer,2001-11-6,616
Engineer,2001-11-7,628
Engineer,2001-11-8,659
Engineer,2001-11-9,635
Engineer,2001-11-10,660
Engineer,2001-11-11,644
Engineer,2001-11-12,597
Engineer,2001-11-13,623
Engineer,2001-11-14,622
Engineer,2001-11-15,644
Engineer,2001-11-16,653
Engineer,2001-11-17,548
Engineer,2001-11-18,615
Engineer,2001-11-19,635
Engineer,2001-11-20,654
Engineer,2001-11-21,633
Engineer,2001-11-22,593
Engineer,2001-11-23,573
Engineer,2001-11-24,581
Engineer,2001-11-25,582
Engineer,2001-11-26,620
Engineer,2001-11-27,655
Engineer,2001-11-28,659
Engineer,2001-11-29,646
Engineer,2001-11-30,622
Engineer,2001-12-1,501
Engineer,2001-12-2,638
Engineer,2001-12-3,645
Engineer,2001-12-4,571
Engineer,2001-12-5,565
Engineer,2001-12-6,642
Engineer,2001-12-7,656
Engineer,2001-12-8,634
Engineer,2001-12-9,531
Engineer,2001-12-10,611
Engineer,2001-12-11,617
Engineer,2001-12-12,660
Engineer,2001-12-13,650
Engineer,2001-12-14,575
Engineer,2001-12-15,613
Engineer,2001-12-16,613
Engineer,2001-12-17,595
Engineer,2001-12-18,639
Engineer,2001-12-19,625
Engineer,2001-12-20,658
Engineer,2001-12-21,658
Engineer,2001-12-22,639
Engineer,2001-12-23,631
Engineer,2001-12-24,646
Engineer,2001-12-25,645
Engineer,2001-12-26,649
Engineer,2001-12-27,647
Engineer,2001-12-28,606
Engineer,2001-12-29,639
Engineer,2001-12-30,644
Engineer,2001-12-31,644
Engineer,2002-1-1,628
Engineer,2002-1-2,566
Engineer,2002-1-3,509
Engineer,2002-1-4,542
Engineer,2002-1-5,607
Engineer,2002-1-6,634
Engineer,2002-1-7,633
Engineer,2002-1-8,506
Engineer,2002-1-9,604
Engineer,2002-1-10,561
Engineer,2002-1-11,564
Engineer,2002-1-12,552
Engineer,2002-1-13,542
Engineer,2002-1-14,651
Engineer,2002-1-15,630
Engineer,2002-1-16,600
Engineer,2002-1-17,611
Engineer,2002-1-18,585
Engineer,2002-1-19,602
Engineer,2002-1-20,517
Engineer,2002-1-21,562
Engineer,2002-1-22,629
Engineer,2002-1-23,625
Engineer,2002-1-24,592
Engineer,2002-1-25,552
Engineer,2002-1-26,641
Engineer,2002-1-27,650
Engineer,2002-1-28,605
Engineer,2002-1-29,492
Engineer,2002-1-30,622
Engineer,2002-1-31,607
Engineer,2002-2-1,641
Engineer,2002-2-2,596
Engineer,2002-2-3,570
Engineer,2002-2-4,650
Engineer,2002-2-5,554
Engineer,2002-2-6,629
Engineer,2002-2-7,606
Engineer,2002-2-8,622
Engineer,2002-2-9,498
Engineer,2002-2-10,629
Engineer,2002-2-11,580
Engineer,2002-2-12,639
Engineer,2002-2-13,522
Engineer,2002-2-14,485
Engineer,2002-2-15,601
Engineer,2002-2-16,628
Engineer,2002-2-17,400
Engineer,2002-2-18,590
Engineer,2002-2-19,554
Engineer,2002-2-20,646
Engineer,2002-2-21,619
Engineer,2002-2-22,600
Engineer,2002-2-23,522
Engineer,2002-2-24,573
Engineer,2002-2-25,541
Engineer,2002-2-26,616
Engineer,2002-2-27,638
Engineer,2002-2-28,605
Engineer,2002-3-1,930
Engineer,2002-3-2,712
Engineer,2002-3-3,804
Engineer,2002-3-4,889
Engineer,2002-3-5,775
Engineer,2002-3-6,766
Engineer,2002-3-7,904
Engineer,2002-3-8,763
Engineer,2002-3-9,823
Engineer,2002-3-10,928
Engineer,2002-3-11,765
Engineer,2002-3-12,832
Engineer,2002-3-13,812
Engineer,2002-3-14,943
Engineer,2002-3-15,773
Engineer,2002-3-16,943
Engineer,2002-3-17,856
Engineer,2002-3-18,926
Engineer,2002-3-19,824
Engineer,2002-3-20,818
Engineer,2002-3-21,918
Engineer,2002-3-22,680
Engineer,2002-3-23,769
Engineer,2002-3-24,920
Engineer,2002-3-25,795
Engineer,2002-3-26,831
Engineer,2002-3-27,868
Engineer,2002-3-28,885
Engineer,2002-3-29,931
Engineer,2002-3-30,892
Engineer,2002-3-31,827
Engineer,2002-4-1,611
Engineer,2002-4-2,512
Engineer,2002-4-3,537
Engineer,2002-4-4,573
Engineer,2002-4-5,534
Engineer,2002-4-6,554
Engineer,2002-4-7,591
Engineer,2002-4-8,556
Engineer,2002-4-9,612
Engineer,2002-4-10,653
Engineer,2002-4-11,626
Engineer,2002-4-12,650
Engineer,2002-4-13,644
Engineer,2002-4-14,553
Engineer,2002-4-15,590
Engineer,2002-4-16,624
Engineer,2002-4-17,609
Engineer,2002-4-18,628
Engineer,2002-4-19,613
Engineer,2002-4-20,554
Engineer,2002-4-21,530
Engineer,2002-4-22,612
Engineer,2002-4-23,570
Engineer,2002-4-24,636
Engineer,2002-4-25,502
Engineer,2002-4-26,628
Engineer,2002-4-27,585
Engineer,2002-4-28,588
Engineer,2002-4-29,618
Engineer,2002-4-30,552
Engineer,2002-5-1,892
Engineer,2002-5-2,840
Engineer,2002-5-3,892
Engineer,2002-5-4,911
Engineer,2002-5-5,855
Engineer,2002-5-6,896
Engineer,2002-5-7,796
Engineer,2002-5-8,898
Engineer,2002-5-9,827
Engineer,2002-5-10,671
Engineer,2002-5-11,820
Engineer,2002-5-12,800
Engineer,2002-5-13,873
Engineer,2002-5-14,783
Engineer,2002-5-15,710
Engineer,2002-5-16,856
Engineer,2002-5-17,828
Engineer,2002-5-18,772
Engineer,2002-5-19,822
Engineer,2002-5-20,742
Engineer,2002-5-21,726
Engineer,2002-5-22,791
Engineer,2002-5-23,740
Engineer,2002-5-24,847
Engineer,2002-5-25,857
Engineer,2002-5-26,892
Engineer,2002-5-27,809
Engineer,2002-5-28,753
Engineer,2002-5-29,810
Engineer,2002-5-30,777
Engineer,2002-5-31,830
Engineer,2002-6-1,619
Engineer,2002-6-2,572
Engineer,2002-6-3,619
Engineer,2002-6-4,578
Engineer,2002-6-5,649
Engineer,2002-6-6,628
Engineer,2002-6-7,613
Engineer,2002-6-8,486
Engineer,2002-6-9,552
Engineer,2002-6-10,580
Engineer,2002-6-11,634
Engineer,2002-6-12,643
Engineer,2002-6-13,549
Engineer,2002-6-14,614
Engineer,2002-6-15,587
Engineer,2002-6-16,464
Engineer,2002-6-17,498
Engineer,2002-6-18,545
Engineer,2002-6-19,641
Engineer,2002-6-20,529
Engineer,2002-6-21,581
Engineer,2002-6-22,568
Engineer,2002-6-23,554
Engineer,2002-6-24,573
Engineer,2002-6-25,571
Engineer,2002-6-26,600
Engineer,2002-6-27,587
Engineer,2002-6-28,549
Engineer,2002-6-29,644
Engineer,2002-6-30,628
Engineer,2002-7-1,723
Engineer,2002-7-2,696
Engineer,2002-7-3,821
Engineer,2002-7-4,683
Engineer,2002-7-5,758
Engineer,2002-7-6,696
Engineer,2002-7-7,807
Engineer,2002-7-8,745
Engineer,2002-7-9,825
Engineer,2002-7-10,760
Engineer,2002-7-11,785
Engineer,2002-7-12,795
Engineer,2002-7-13,777
Engineer,2002-7-14,793
Engineer,2002-7-15,819
Engineer,2002-7-16,775
Engineer,2002-7-17,767
Engineer,2002-7-18,776
Engineer,2002-7-19,766
Engineer,2002-7-20,737
Engineer,2002-7-21,802
Engineer,2002-7-22,796
Engineer,2002-7-23,676
Engineer,2002-7-24,771
Engineer,2002-7-25,811
Engineer,2002-7-26,807
Engineer,2002-7-27,798
Engineer,2002-7-28,748
Engineer,2002-7-29,765
Engineer,2002-7-30,742
Engineer,2002-7-31,716
Engineer,2002-8-1,672
Engineer,2002-8-2,647
Engineer,2002-8-3,686
Engineer,2002-8-4,739
Engineer,2002-8-5,772
Engineer,2002-8-6,734
Engineer,2002-8-7,695
Engineer,2002-8-8,644
Engineer,2002-8-9,816
Engineer,2002-8-10,698
Engineer,2002-8-11,624
Engineer,2002-8-12,785
Engineer,2002-8-13,742
Engineer,2002-8-14,653
Engineer,2002-8-15,822
Engineer,2002-8-16,777
Engineer,2002-8-17,718
Engineer,2002-8-18,809
Engineer,2002-8-19,742
Engineer,2002-8-20,786
Engineer,2002-8-21,751
Engineer,2002-8-22,763
Engineer,2002-8-23,695
Engineer,2002-8-24,770
Engineer,2002-8-25,791
Engineer,2002-8-26,763
Engineer,2002-8-27,809
Engineer,2002-8-28,676
Engineer,2002-8-29,744
Engineer,2002-8-30,765
Engineer,2002-8-31,749
Engineer,2002-9-1,602
Engineer,2002-9-2,631
Engineer,2002-9-3,628
Engineer,2002-9-4,589
Engineer,2002-9-5,642
Engineer,2002-9-6,602
Engineer,2002-9-7,645
Engineer,2002-9-8,589
Engineer,2002-9-9,624
Engineer,2002-9-10,624
Engineer,2002-9-11,578
Engineer,2002-9-12,492
Engineer,2002-9-13,615
Engineer,2002-9-14,542
Engineer,2002-9-15,578
Engineer,2002-9-16,518
Engineer,2002-9-17,511
Engineer,2002-9-18,602
Engineer,2002-9-19,541
Engineer,2002-9-20,583
Engineer,2002-9-21,603
Engineer,2002-9-22,638
Engineer,2002-9-23,564
Engineer,2002-9-24,559
