id,job,place,lat,lng,latint,lngint,supplydemand,cost
1,Tester,TumkurRoad,13.03495514,77.52961636,130350,775296,1,896
1,Tester,KanakapuraMainRoad,12.94601033,77.57675886,129460,775768,1,911
1,Tester,Sultanpalya,13.02237015,77.60225058,130224,776023,11,687
1,Tester,MysoreRoad,12.97378025,77.58682251,129738,775868,10,578
1,Tester,VittalMallyaRoad,12.96922184,77.59510517,129692,775951,1,806
1,Tester,Kadubeesanahalli,12.93910919,77.69681454,129391,776968,1,850
1,Tester,Bilekahalli,12.89740552,77.61068344,128974,776107,11,724
1,Tester,Chikkabanavara,13.07613409,77.50785828,130761,775079,1,851
1,Tester,BalajiNagar,12.92610107,77.60836601,129261,776084,11,794
1,Tester,HAL3rdStage,12.96842725,77.65445709,129684,776545,11,697
1,Tester,Nagasandra,13.03909425,77.49026299,130391,774903,10,626
1,Tester,InfantryRoad,12.98042951,77.60428905,129804,776043,10,510
1,Tester,ElectronicCity,12.84427243,77.67007828,128443,776701,1,821
1,Tester,BangaloreUniversity,12.95437509,77.50905991,129544,775091,11,786
1,Tester,Vyalikaval,13.00221611,77.57446289,130022,775745,10,591
1,Tester,Domlur,12.963576,77.63711929,129636,776371,11,687
1,Tester,SankeyRoad,13.00564492,77.58021355,130056,775802,11,759
1,Tester,SahakaraNagar,13.06463812,77.58622169,130646,775862,1,814
1,Tester,RMV2ndStage,13.04051574,77.56587982,130405,775659,11,796
1,Tester,DollarsColony,13.03813264,77.56248951,130381,775625,10,604
1,Tester,HALAirportRoad,12.95972839,77.65591621,129597,776559,11,735
1,Tester,QueensRoad,12.98122407,77.59737968,129812,775974,1,887
1,Tester,Kathriguppe,12.93003285,77.55772591,129300,775577,11,771
1,Tester,TanneryRoad,12.97378025,77.58682251,129738,775868,10,608
1,Tester,NewBELRoad,13.02646766,77.57171631,130265,775717,1,833
1,Tester,CVRamanNagar,12.9844859,77.66115189,129845,776612,10,645
1,Tester,Hoskote,13.07036527,77.78886795,130704,777889,11,796
1,Tester,Virgonagar,13.03733827,77.73033142,130373,777303,1,802
1,Tester,Sanjaynagar,13.03834169,77.58235931,130383,775824,1,897
1,Tester,Gandhinagar,12.98247862,77.57686615,129825,775769,1,915
1,Tester,DispensaryRoad,12.95778365,77.57646918,129578,775765,10,633
1,Tester,GangaNagar,13.02153392,77.58810997,130215,775881,11,678
1,Tester,DJHalli,12.97378025,77.58682251,129738,775868,10,536
1,Tester,K.GNagar,12.97378025,77.58682251,129738,775868,11,717
1,Tester,Rajkunte,13.29675236,77.55111694,132968,775511,10,545
1,Tester,KumaraKrupa,12.97378025,77.58682251,129738,775868,1,884
1,Tester,Chamarajpet,12.97378025,77.58682251,129738,775868,1,895
1,Tester,HRBRLayout,13.01609832,77.6466465,130161,776466,10,584
1,Tester,K.RMarket,12.96432879,77.57830381,129643,775783,10,593
1,Tester,VVPuram,12.95220028,77.57772446,129522,775777,10,554
1,Tester,Murugeshpalya,12.96014661,77.65728951,129601,776573,10,627
1,Tester,Nagarbhavi,12.97210745,77.51420975,129721,775142,11,760
1,Tester,BrigadeRoad,12.97457482,77.60767937,129746,776077,1,814
1,Tester,M.GRoad,12.97436573,77.61300087,129744,776130,1,837
1,Tester,PalaceGuttahalli,12.99602741,77.57489204,129960,775749,1,922
1,Tester,NandidurgaRoad,12.99960266,77.60008335,129996,776001,11,682
1,Tester,Bellandur,12.92677031,77.64982224,129268,776498,1,923
1,Tester,LangfordGardens,12.9629905,77.59986877,129630,775999,11,793
1,Tester,Shanthinagar,12.95437509,77.5979805,129544,775980,11,665
1,Tester,KasturiNagar,13.00589581,77.65763283,130059,776576,10,595
1,Tester,Kodihalli,12.96048118,77.64656067,129605,776466,1,853
1,Tester,HaudinRoad,12.97378025,77.58682251,129738,775868,1,855
1,Tester,KRRoad,12.93199872,77.57373333,129320,775737,1,941
1,Tester,St.JohnsRoad,12.98130771,77.61171341,129813,776117,1,868
1,Tester,NewThippasandra,12.97762764,77.65256882,129776,776526,11,651
1,Tester,Gavipuram,12.97378025,77.58682251,129738,775868,10,649
1,Tester,MahalakshmiLayout,13.02061405,77.54991531,130206,775499,1,834
1,Tester,RichmondTown,12.96399421,77.603302,129640,776033,10,632
1,Tester,Doddanekundi,12.97595487,77.69016266,129760,776902,1,950
1,Tester,Hesaraghatta,13.16440527,77.48622894,131644,774862,10,594
1,Tester,ChurchStreet,12.97542167,77.60379553,129754,776038,1,874
1,Tester,PalaceCrossRoad,12.99717735,77.58731604,129972,775873,10,564
1,Tester,St.ThomasTown,12.97378025,77.58682251,129738,775868,1,821
1,Tester,CommercialStreet,12.98306408,77.60716438,129831,776072,1,916
1,Tester,Nayandahalli,12.9386491,77.52322197,129386,775232,10,530
1,Tester,Agaram,12.95705175,77.63471603,129571,776347,1,863
1,Tester,Kothanur,13.06024861,77.64123917,130602,776412,1,881
1,Tester,Ejipura,12.93982022,77.62999535,129398,776300,1,866
1,Tester,OldMadrasRoad,12.98724587,77.64849186,129872,776485,10,607
1,Tester,HanumanthaNagar,12.97378025,77.58682251,129738,775868,10,572
1,Tester,PadmanabhaNagar,12.91991047,77.55412102,129199,775541,1,919
1,Tester,ArakereGate,12.89060762,77.59862423,128906,775986,11,749
1,Tester,Ramanagaram,12.97378025,77.58682251,129738,775868,10,580
1,Tester,RaceCourseRoad,12.96159992,77.61538267,129616,776154,1,810
1,Tester,Vidyaranyapura,13.08181918,77.55815506,130818,775582,10,506
1,Tester,Rajanukunte,13.17606372,77.56248951,131761,775625,10,580
1,Tester,Vasanthanagar,12.99284936,77.59162903,129928,775916,1,886
1,Tester,Krishnarajapuram,13.00271789,77.67780304,130027,776778,10,550
1,Tester,RichmondRoad,12.96566707,77.60332346,129657,776033,1,917
1,Tester,Malleswaram,13.00857192,77.56433487,130086,775643,10,642
1,Tester,Kumbalgodu,12.95922652,77.56978512,129592,775698,11,679
1,Tester,CoxTown,12.99774186,77.61991024,129977,776199,1,900
1,Tester,Devanhalli,13.24662935,77.70835876,132466,777084,11,727
1,Tester,Maruthisevanagar,13.00020898,77.63299942,130002,776330,10,578
1,Tester,Byatarayanapura,13.06225525,77.60656357,130623,776066,11,749
1,Tester,ResidencyRoad,12.97235837,77.6077652,129724,776078,11,658
1,Tester,DoubleRoad,12.97378025,77.58682251,129738,775868,11,743
1,Tester,Bhoopasandra,12.97378025,77.58682251,129738,775868,10,530
1,Tester,Ulsoor,12.98331499,77.61480331,129833,776148,11,774
1,Tester,JCRoad,12.95661261,77.58162975,129566,775816,10,524
1,Tester,MillersRoad,12.98749678,77.59111404,129875,775911,10,531
1,Tester,HosurRoad,12.92175093,77.61995316,129218,776200,10,538
1,Tester,FrazerTown,12.99841091,77.61484623,129984,776148,1,851
1,Tester,Nagawara,12.97378025,77.58682251,129738,775868,10,510
1,Tester,Shampur,12.97378025,77.58682251,129738,775868,10,504
1,Tester,LangfordRoad,12.96194495,77.59890318,129619,775989,10,553
1,Tester,ChandraLayout,12.94960721,77.5188446,129496,775188,10,608
1,Tester,WheelersRoad,12.99615286,77.61720657,129962,776172,11,746
1,Tester,KumaraParkWest,12.97378025,77.58682251,129738,775868,1,910
1,Tester,Viswaneedam,13.01158251,77.51026154,130116,775103,1,919
1,Tester,RTNagar,13.02094855,77.59677887,130209,775968,1,935
1,Tester,Bommanahalli,12.90803078,77.62870789,129080,776287,11,668
1,Tester,MuseumRoad,12.97378025,77.58682251,129738,775868,11,785
1,Tester,PeenyaIndustrialArea,13.03466247,77.51678467,130347,775168,11,744
1,Tester,Mahadevapura,12.9936857,77.69256592,129937,776926,11,752
1,Tester,MainGuardCrossRoad,12.97988587,77.60673523,129799,776067,10,503
1,Tester,WaltonRoad,12.9724211,77.59822726,129724,775982,10,615
1,Tester,Puttenahalli,12.89949714,77.58201599,128995,775820,1,888
1,Tester,Chickpet,12.9707692,77.57188797,129708,775719,11,678
1,Tester,JCNagar,13.00698298,77.5929594,130070,775930,1,898
1,Tester,CubbonPark,12.97378025,77.58682251,129738,775868,1,858
1,Tester,Konanakunte,12.88343302,77.56416321,128834,775642,10,607
1,Tester,Marathahalli,12.95437509,77.70114899,129544,777011,10,569
1,Tester,Mathikere,13.02579868,77.56708145,130258,775671,1,933
1,Tester,Madivala,12.92158362,77.62802124,129216,776280,11,738
1,Tester,JeevanbheemaNagar,12.96483064,77.66115189,129648,776612,10,591
1,Tester,Jayanagar,12.93245882,77.58184433,129325,775818,10,584
1,Tester,Indiranagar,12.97294385,77.63935089,129729,776394,10,517
1,Tester,RajaRajeshwariNagar,12.9127158,77.51017571,129127,775102,10,527
1,Tester,HBRLayout,13.02730388,77.62716293,130273,776272,1,803
1,Tester,Jalahalli,13.05355968,77.54201889,130536,775420,10,643
1,Tester,BangaloreCBD,12.97378025,77.58682251,129738,775868,10,575
1,Tester,MissionRoad,12.97378025,77.58682251,129738,775868,1,864
1,Tester,ArabicCollege,13.03215388,77.62269974,130322,776227,1,841
1,Tester,Sadahalli,13.21166243,77.64613152,132117,776461,11,765
1,Tester,Whitefield,12.97946768,77.72415161,129795,777242,10,594
1,Tester,BTMLayout,12.91472363,77.61634827,129147,776163,10,558
1,Tester,Rajajinagar,12.98615861,77.55300522,129862,775530,11,695
1,Tester,Jakkur,13.07814061,77.59609222,130781,775961,11,722
1,Tester,BannerghattaRoad,12.8333934,77.58871078,128334,775887,10,538
1,Tester,Seshadripuram,12.98816586,77.58733749,129882,775873,1,883
1,Tester,Shivajinagar,12.98858403,77.60484695,129886,776048,1,880
1,Tester,WilsonGarden,12.94433734,77.6002121,129443,776002,1,921
1,Tester,Koramangala,12.92978189,77.62149811,129298,776215,1,859
1,Tester,Kammanahalli,13.0266349,77.63566017,130266,776357,11,657
1,Tester,Hebbal,13.03533142,77.59883881,130353,775988,10,541
1,Tester,Laggere,13.01660007,77.52124786,130166,775212,1,916
1,Tester,Banashankari,12.94885438,77.54579544,129489,775458,11,736
1,Tester,JnanaBharathi,12.94534113,77.50236511,129453,775024,11,759
1,Tester,Basaveshwaranagar,12.99519109,77.54476547,129952,775448,10,504
1,Tester,Brookefield,12.964747,77.7232933,129647,777233,1,862
1,Tester,SanjeeviniNagar,12.97378025,77.58682251,129738,775868,10,511
1,Tester,BensonTown,12.99761641,77.60398865,129976,776040,10,559
1,Tester,Basavangudi,12.92974006,77.57098675,129297,775710,10,545
1,Tester,Yeshwanthpur,13.02922717,77.54562378,130292,775456,11,779
1,Tester,Vimanapura,12.95834825,77.66797543,129583,776680,10,559
1,Tester,Yelahanka,13.10188313,77.59969711,131019,775997,11,786
1,Tester,Adugodi,12.94759965,77.60630608,129476,776063,11,688
1,Tester,Kadugodi,13.00104529,77.72629738,130010,777263,1,831
1,Tester,Hennur,13.03733827,77.65171051,130373,776517,1,811
1,Tester,KumaraswamyLayout,12.9060229,77.55970001,129060,775597,10,608
1,Tester,Kamakshipalya,12.9890022,77.52193451,129890,775219,1,803
1,Tester,HaralurRoad,12.90581374,77.66282558,129058,776628,1,874
1,Tester,Banaswadi,13.01818895,77.64501572,130182,776450,1,922
2,Engineer,KalyanNagar,13.02542238,77.64072418,130254,776407,10,756
2,Engineer,Jayamahal,13.00451593,77.59823799,130045,775982,1,1003
2,Engineer,Kengeri,12.92534816,77.48416901,129253,774842,11,814
2,Engineer,KasturbaRoad,12.97378025,77.59489059,129738,775949,10,682
2,Engineer,KumaraParkEast,12.98218589,77.58643627,129822,775864,1,958
2,Engineer,DoddaballapuraMainRoad,13.13937325,77.56909847,131394,775691,1,987
2,Engineer,Thyagarajanagar,12.93187324,77.56708145,129319,775671,11,806
2,Engineer,Kanakapura,12.54518017,77.41653442,125452,774165,11,929
2,Engineer,BVKIyengarRoad,12.97217018,77.57669449,129722,775767,11,927
2,Engineer,Vijayanagar,12.97093648,77.53206253,129709,775321,10,647
2,Engineer,K.HRoad,12.95951927,77.59330273,129595,775933,11,907
2,Engineer,VarthurRoad,12.95688446,77.70466805,129569,777047,10,721
2,Engineer,CrescentRoad,12.98891857,77.58225203,129889,775823,11,849
2,Engineer,Sarjapur,12.85787055,77.78629303,128579,777863,1,1076
2,Engineer,Lingarajapuram,13.00853011,77.63046741,130085,776305,1,1054
2,Engineer,St.MarksRoad,12.9747421,77.60119915,129747,776012,10,703
2,Engineer,HAL2ndStage,12.97378025,77.64347076,129738,776435,10,744
2,Engineer,Kalasipalyam,12.96060665,77.58141518,129606,775814,11,814
2,Engineer,KempegowdaRoad,12.97444937,77.5778532,129744,775779,11,844
2,Engineer,Sadhashivnagar,13.01057898,77.58278847,130106,775828,1,998
2,Engineer,AshokNagar,12.97378025,77.58682251,129738,775868,1,1066
2,Engineer,Subramanyapura,12.89882782,77.5406456,128988,775406,1,1021
2,Engineer,LavelleRoad,12.96825997,77.5963068,129683,775963,11,801
2,Engineer,DickensonRoad,12.97817129,77.6153183,129782,776153,1,1097
2,Engineer,AustinTown,12.96176721,77.61459947,129618,776146,10,658
2,Engineer,Nagashettyhalli,13.04177,77.57343292,130418,775734,10,709
2,Engineer,CookeTown,12.97378025,77.58682251,129738,775868,11,782
2,Engineer,Kaggalipura,12.97378025,77.58682251,129738,775868,1,951
2,Engineer,Srirampuram,12.98766405,77.56519318,129877,775652,1,1077
2,Engineer,Carmelram,12.90317836,77.71144867,129032,777114,10,648
2,Engineer,AirportRoad,12.96625256,77.6259613,129663,776260,10,602
2,Engineer,Bidadi,12.97378025,77.58682251,129738,775868,10,614
2,Engineer,Viveknagar,12.95345498,77.61995316,129535,776200,10,655
2,Engineer,VictoriaRoad,12.96531159,77.61763573,129653,776176,1,1083
2,Engineer,Dasarahalli,13.05038237,77.51232147,130504,775123,1,1054
2,Engineer,CunninghamRoad,12.98640952,77.59557724,129864,775956,1,1009
2,Engineer,K.GCircle,12.97419845,77.57871151,129742,775787,10,616
2,Engineer,JPNagar,12.91338508,77.58768082,129134,775877,10,609
2,Engineer,MagrathRoad,12.97039282,77.61106968,129704,776111,10,649
2,Engineer,HSRLayout,12.91120991,77.6348877,129112,776349,11,860
2,Engineer,TumkurRoad,13.03495514,77.52961636,130350,775296,10,740
2,Engineer,KanakapuraMainRoad,12.94601033,77.57675886,129460,775768,11,860
2,Engineer,Sultanpalya,13.02237015,77.60225058,130224,776023,11,817
2,Engineer,MysoreRoad,12.97378025,77.58682251,129738,775868,10,624
2,Engineer,VittalMallyaRoad,12.96922184,77.59510517,129692,775951,1,999
2,Engineer,Kadubeesanahalli,12.93910919,77.69681454,129391,776968,11,785
2,Engineer,Bilekahalli,12.89740552,77.61068344,128974,776107,11,802
2,Engineer,Chikkabanavara,13.07613409,77.50785828,130761,775079,10,725
2,Engineer,BalajiNagar,12.92610107,77.60836601,129261,776084,1,1064
2,Engineer,HAL3rdStage,12.96842725,77.65445709,129684,776545,11,885
2,Engineer,Nagasandra,13.03909425,77.49026299,130391,774903,10,709
2,Engineer,InfantryRoad,12.98042951,77.60428905,129804,776043,1,964
2,Engineer,ElectronicCity,12.84427243,77.67007828,128443,776701,10,657
2,Engineer,BangaloreUniversity,12.95437509,77.50905991,129544,775091,11,844
2,Engineer,Vyalikaval,13.00221611,77.57446289,130022,775745,10,604
2,Engineer,Domlur,12.963576,77.63711929,129636,776371,11,772
2,Engineer,SankeyRoad,13.00564492,77.58021355,130056,775802,10,686
2,Engineer,SahakaraNagar,13.06463812,77.58622169,130646,775862,1,955
2,Engineer,RMV2ndStage,13.04051574,77.56587982,130405,775659,1,954
2,Engineer,DollarsColony,13.03813264,77.56248951,130381,775625,1,995
2,Engineer,HALAirportRoad,12.95972839,77.65591621,129597,776559,1,1033
2,Engineer,QueensRoad,12.98122407,77.59737968,129812,775974,11,861
2,Engineer,Kathriguppe,12.93003285,77.55772591,129300,775577,10,650
2,Engineer,TanneryRoad,12.97378025,77.58682251,129738,775868,1,1064
2,Engineer,NewBELRoad,13.02646766,77.57171631,130265,775717,11,802
2,Engineer,CVRamanNagar,12.9844859,77.66115189,129845,776612,1,1087
2,Engineer,Hoskote,13.07036527,77.78886795,130704,777889,1,1011
2,Engineer,Virgonagar,13.03733827,77.73033142,130373,777303,11,821
2,Engineer,Sanjaynagar,13.03834169,77.58235931,130383,775824,11,892
2,Engineer,Gandhinagar,12.98247862,77.57686615,129825,775769,11,897
2,Engineer,DispensaryRoad,12.95778365,77.57646918,129578,775765,11,823
2,Engineer,GangaNagar,13.02153392,77.58810997,130215,775881,1,1025
2,Engineer,DJHalli,12.97378025,77.58682251,129738,775868,1,977
2,Engineer,K.GNagar,12.97378025,77.58682251,129738,775868,10,627
2,Engineer,Rajkunte,13.29675236,77.55111694,132968,775511,1,951
2,Engineer,KumaraKrupa,12.97378025,77.58682251,129738,775868,1,1006
2,Engineer,Chamarajpet,12.97378025,77.58682251,129738,775868,1,997
2,Engineer,HRBRLayout,13.01609832,77.6466465,130161,776466,11,888
2,Engineer,K.RMarket,12.96432879,77.57830381,129643,775783,10,620
2,Engineer,VVPuram,12.95220028,77.57772446,129522,775777,11,786
2,Engineer,Murugeshpalya,12.96014661,77.65728951,129601,776573,1,1036
2,Engineer,Nagarbhavi,12.97210745,77.51420975,129721,775142,11,866
2,Engineer,BrigadeRoad,12.97457482,77.60767937,129746,776077,11,909
2,Engineer,M.GRoad,12.97436573,77.61300087,129744,776130,11,912
2,Engineer,PalaceGuttahalli,12.99602741,77.57489204,129960,775749,10,653
2,Engineer,NandidurgaRoad,12.99960266,77.60008335,129996,776001,10,689
2,Engineer,Bellandur,12.92677031,77.64982224,129268,776498,11,790
2,Engineer,LangfordGardens,12.9629905,77.59986877,129630,775999,11,820
2,Engineer,Shanthinagar,12.95437509,77.5979805,129544,775980,11,813
2,Engineer,KasturiNagar,13.00589581,77.65763283,130059,776576,11,885
2,Engineer,Kodihalli,12.96048118,77.64656067,129605,776466,1,998
2,Engineer,HaudinRoad,12.97378025,77.58682251,129738,775868,1,1004
2,Engineer,KRRoad,12.93199872,77.57373333,129320,775737,1,1065
2,Engineer,St.JohnsRoad,12.98130771,77.61171341,129813,776117,11,852
2,Engineer,NewThippasandra,12.97762764,77.65256882,129776,776526,1,1098
2,Engineer,Gavipuram,12.97378025,77.58682251,129738,775868,1,976
2,Engineer,MahalakshmiLayout,13.02061405,77.54991531,130206,775499,1,981
2,Engineer,RichmondTown,12.96399421,77.603302,129640,776033,11,929
2,Engineer,Doddanekundi,12.97595487,77.69016266,129760,776902,11,771
2,Engineer,Hesaraghatta,13.16440527,77.48622894,131644,774862,10,734
2,Engineer,ChurchStreet,12.97542167,77.60379553,129754,776038,1,1082
2,Engineer,PalaceCrossRoad,12.99717735,77.58731604,129972,775873,10,704
2,Engineer,St.ThomasTown,12.97378025,77.58682251,129738,775868,10,700
2,Engineer,CommercialStreet,12.98306408,77.60716438,129831,776072,10,721
2,Engineer,Nayandahalli,12.9386491,77.52322197,129386,775232,1,1088
2,Engineer,Agaram,12.95705175,77.63471603,129571,776347,11,799
2,Engineer,Kothanur,13.06024861,77.64123917,130602,776412,11,876
2,Engineer,Ejipura,12.93982022,77.62999535,129398,776300,11,827
2,Engineer,OldMadrasRoad,12.98724587,77.64849186,129872,776485,1,1042
2,Engineer,HanumanthaNagar,12.97378025,77.58682251,129738,775868,1,966
2,Engineer,PadmanabhaNagar,12.91991047,77.55412102,129199,775541,10,680
2,Engineer,ArakereGate,12.89060762,77.59862423,128906,775986,1,937
2,Engineer,Ramanagaram,12.97378025,77.58682251,129738,775868,10,665
2,Engineer,RaceCourseRoad,12.96159992,77.61538267,129616,776154,10,639
2,Engineer,Vidyaranyapura,13.08181918,77.55815506,130818,775582,11,820
2,Engineer,Rajanukunte,13.17606372,77.56248951,131761,775625,1,999
2,Engineer,Vasanthanagar,12.99284936,77.59162903,129928,775916,10,762
2,Engineer,Krishnarajapuram,13.00271789,77.67780304,130027,776778,1,1025
2,Engineer,RichmondRoad,12.96566707,77.60332346,129657,776033,1,962
2,Engineer,Malleswaram,13.00857192,77.56433487,130086,775643,1,1058
2,Engineer,Kumbalgodu,12.95922652,77.56978512,129592,775698,11,873
2,Engineer,CoxTown,12.99774186,77.61991024,129977,776199,10,634
2,Engineer,Devanhalli,13.24662935,77.70835876,132466,777084,10,642
2,Engineer,Maruthisevanagar,13.00020898,77.63299942,130002,776330,11,837
2,Engineer,Byatarayanapura,13.06225525,77.60656357,130623,776066,11,891
2,Engineer,ResidencyRoad,12.97235837,77.6077652,129724,776078,1,1076
2,Engineer,DoubleRoad,12.97378025,77.58682251,129738,775868,10,609
2,Engineer,Bhoopasandra,12.97378025,77.58682251,129738,775868,10,729
2,Engineer,Ulsoor,12.98331499,77.61480331,129833,776148,11,808
2,Engineer,JCRoad,12.95661261,77.58162975,129566,775816,10,746
2,Engineer,MillersRoad,12.98749678,77.59111404,129875,775911,11,793
2,Engineer,HosurRoad,12.92175093,77.61995316,129218,776200,1,978
2,Engineer,FrazerTown,12.99841091,77.61484623,129984,776148,1,1024
2,Engineer,Nagawara,12.97378025,77.58682251,129738,775868,10,696
2,Engineer,Shampur,12.97378025,77.58682251,129738,775868,1,954
2,Engineer,LangfordRoad,12.96194495,77.59890318,129619,775989,1,1039
2,Engineer,ChandraLayout,12.94960721,77.5188446,129496,775188,11,780
2,Engineer,WheelersRoad,12.99615286,77.61720657,129962,776172,1,1037
2,Engineer,KumaraParkWest,12.97378025,77.58682251,129738,775868,10,753
2,Engineer,Viswaneedam,13.01158251,77.51026154,130116,775103,11,780
2,Engineer,RTNagar,13.02094855,77.59677887,130209,775968,10,697
2,Engineer,Bommanahalli,12.90803078,77.62870789,129080,776287,11,822
2,Engineer,MuseumRoad,12.97378025,77.58682251,129738,775868,11,774
2,Engineer,PeenyaIndustrialArea,13.03466247,77.51678467,130347,775168,10,625
2,Engineer,Mahadevapura,12.9936857,77.69256592,129937,776926,1,1019
2,Engineer,MainGuardCrossRoad,12.97988587,77.60673523,129799,776067,1,999
2,Engineer,WaltonRoad,12.9724211,77.59822726,129724,775982,10,636
2,Engineer,Puttenahalli,12.89949714,77.58201599,128995,775820,1,946
2,Engineer,Chickpet,12.9707692,77.57188797,129708,775719,1,1085
2,Engineer,JCNagar,13.00698298,77.5929594,130070,775930,1,962
2,Engineer,CubbonPark,12.97378025,77.58682251,129738,775868,11,843
2,Engineer,Konanakunte,12.88343302,77.56416321,128834,775642,11,846
2,Engineer,Marathahalli,12.95437509,77.70114899,129544,777011,10,704
2,Engineer,Mathikere,13.02579868,77.56708145,130258,775671,11,892
2,Engineer,Madivala,12.92158362,77.62802124,129216,776280,10,672
2,Engineer,JeevanbheemaNagar,12.96483064,77.66115189,129648,776612,1,1099
2,Engineer,Jayanagar,12.93245882,77.58184433,129325,775818,11,846
2,Engineer,Indiranagar,12.97294385,77.63935089,129729,776394,10,664
2,Engineer,RajaRajeshwariNagar,12.9127158,77.51017571,129127,775102,11,864
2,Engineer,HBRLayout,13.02730388,77.62716293,130273,776272,1,1084
2,Engineer,Jalahalli,13.05355968,77.54201889,130536,775420,10,620
2,Engineer,BangaloreCBD,12.97378025,77.58682251,129738,775868,10,700
2,Engineer,MissionRoad,12.97378025,77.58682251,129738,775868,11,794
2,Engineer,ArabicCollege,13.03215388,77.62269974,130322,776227,10,662
2,Engineer,Sadahalli,13.21166243,77.64613152,132117,776461,10,643
2,Engineer,Whitefield,12.97946768,77.72415161,129795,777242,1,1016
2,Engineer,BTMLayout,12.91472363,77.61634827,129147,776163,11,897
2,Engineer,Rajajinagar,12.98615861,77.55300522,129862,775530,11,783
2,Engineer,Jakkur,13.07814061,77.59609222,130781,775961,10,606
2,Engineer,BannerghattaRoad,12.8333934,77.58871078,128334,775887,1,1051
2,Engineer,Seshadripuram,12.98816586,77.58733749,129882,775873,10,762
2,Engineer,Shivajinagar,12.98858403,77.60484695,129886,776048,10,713
2,Engineer,WilsonGarden,12.94433734,77.6002121,129443,776002,11,790
2,Engineer,Koramangala,12.92978189,77.62149811,129298,776215,11,815
2,Engineer,Kammanahalli,13.0266349,77.63566017,130266,776357,1,987
2,Engineer,Hebbal,13.03533142,77.59883881,130353,775988,11,913
2,Engineer,Laggere,13.01660007,77.52124786,130166,775212,10,662
2,Engineer,Banashankari,12.94885438,77.54579544,129489,775458,11,819
2,Engineer,JnanaBharathi,12.94534113,77.50236511,129453,775024,10,615
2,Engineer,Basaveshwaranagar,12.99519109,77.54476547,129952,775448,1,1000
2,Engineer,Brookefield,12.964747,77.7232933,129647,777233,1,1001
2,Engineer,SanjeeviniNagar,12.97378025,77.58682251,129738,775868,1,1086
2,Engineer,BensonTown,12.99761641,77.60398865,129976,776040,11,792
2,Engineer,Basavangudi,12.92974006,77.57098675,129297,775710,10,604
2,Engineer,Yeshwanthpur,13.02922717,77.54562378,130292,775456,11,822
2,Engineer,Vimanapura,12.95834825,77.66797543,129583,776680,1,1009
2,Engineer,Yelahanka,13.10188313,77.59969711,131019,775997,10,671
